character	killed by	induced by	death	type
Boss	Saito Sejima		Shot in the head by Saito Sejima (Annihilation Ending)	non-canon
Boss	Saito Sejima		Shot in the head by Saito Sejima (Ota Ending)	non-canon
Grandpa Kuranushi			Died of unknown causes	
Hitomi Sagan	Saito Sejima		Shot in the head by Saito Sejima (Resolution Bad Ending)	non-canon
Hitomi Sagan	Saito Sejima		Strapped to a bomb detonated by Saito Sejima (Annihilation Bad Ending)	non-canon
Hitomi Sagan	Saito Sejima		Strapped to a bomb detonated by Saito Sejima (Annihilation Ending)	non-canon
Iris Sagan			Died of a brain tumor (Iris Ending)	non-canon
Iris Sagan	Saito Sejima		Strangled by Saito Sejima (Ota Ending, Mizuki Ending and Annihilation Ending)	non-canon
Kaname Date	Saito Sejima		Shot multiple times by Saito Sejima (Mizuki Bad Ending)	non-canon
Ma			Died of unknown causes	
Manaka Iwai	Saito Sejima		Stabbed multiple times in the back by Saito Sejima	
Mr. Okiura			Died of an illness	
Ota Matsushita	Saito Sejima		Stabbed in the stomach and then cut with an ice cutting machine by Saito Sejima (Annihilation Ending)	non-canon
Renju Okiura	Saito Sejima		Stabbed with an ice pick by Saito Sejima	
Rohan Kumakura	Saito Sejima	Rohan Kumakura	Succumbed to the wounds inflicted on the body of Renju Okiura by Saito Sejima after he willingly exchanged bodies with him (Resolution Ending)	
Saito Sejima	Aiba	Kaname Date	Head blown off by Aiba's self-destruction on orders from Kaname Date (Resolution Ending)	
Saito Sejima	Kaname Date		Murdered in a fit of rage by Kaname Date (Annihilation Bad Ending)	non-canon
Saito Sejima	Kaname Date		Shot in the head by Kaname Date (Mizuki Ending)	non-canon
Shoko Nadami	Shoko Nadami	Saito Sejima	Jumped off a roof in confusion after having her body stolen by Saito Sejima	
So Sejima	Saito Sejima		Dismembered and cut in half with an ice cutting machine by Saito Sejima (Annihilation Ending)	non-canon
Takero Matsushita			Died from natural causes	
