character	killed by	caused by	death	type
Ami Fey			Died from unknown causes	
Bruce Goodman	Damon Gant		Stabbed with a knife by Damon Gant	
Celeste Inpax	Celeste Inpax		Hanged herself	
Cindy Stone	Frank Sahwit		Bludgeoned using a statue by Frank Sahwit	
Dahlia Hawthorne			Hanged after being sentenced to death for murder	
Doug Swallow	Dahlia Hawthorne		Electrocuted with a snapped power line by Dahlia Hawthorne	
Dustin Prince	Richard Wellington		Neck broken after being pushed off a ledge by Richard Wellington	
Edith Kirby	Joe Darke		Murdered by Joe Darke	
Edward Jones	Joe Darke		Murdered by Joe Darke	
Glen Elg	Furio Tigre		Poisoned with potassium cyanide by Furio Tigre	
Gregory Edgeworth	Manfred von Karma		Shot in the heart by Manfred von Karma	
Ini Miney	Mimi Miney		Incinerated in a car crash accidentally caused by Mimi Miney	
Jack Hammer	Dee Vasquez		Accidentally pushed onto an iron fence and impaled through the heart by Dee Vasquez	
Jason Knight	Joe Darke		Murdered by Joe Darke	
Jeb Bates	Joe Darke		Murdered by Joe Darke	
Joe Darke			Executed after being sentenced to death for serial murder	
Juan Corrida	Shelly de Killer	Matt Engarde	Strangled with a scarf by Shelly de Killer, hired by Matt Engarde	
Kane Bullard	Luke Atmey		Hit on the head by Luke Atmey	
Léon	Russell Berry		Shot by Russell Berry	
Manfred von Karma			Died from unknown causes during his incarceration	
Manuel	Jack Hammer		Accidentally pushed onto an iron fence and impaled by Jack Hammer	
Mia Fey	Redd White		Bludgeoned using a statue by Redd White	
Misty Fey	Godot		Stabbed in the back with her sword cane by Godot	
Neil Marshall	Damon Gant		Impaled on a spear by Damon Gant	
Polly Jenkins	Polly Jenkins		Took her own life following the DL-6 incident	
Rachael Moss	Joe Darke		Murdered by Joe Darke	
Robert Hammond	Yanni Yogi		Shot by Yanni Yogi	
Russell Berry	Acro		Vertebrae snapped by a bust dropped on his head by Acro	
Terry Fawles	Terry Fawles	Dahlia Hawthorne	Drank from a vial of poison on orders from Dahlia Hawthorne	
Turner Grey	Mimi Miney		Stabbed in the chest and shot in the forehead by Mimi Miney	
Valerie Hawthorne	Dahlia Hawthorne		Stabbed in the back by Dahlia Hawthorne	
