character	killed by	induced by	death	type
Ayame Mikotoba			Died during childbirth	
Balmung			Quietly passed away	
Chalan Musgrave		Mael Stronghart	Crushed by concrete blocks, orchestrated by Mael Stronghart	
Duncan Ross	William Shamspeare		Asphyxiated by gas after his stove was extinguished by William Shamspeare	
Former Lord Chief Justice	Balmung	Klint van Zieks | Mael Stronghart	Throat ripped apart by Balmung on orders from Klint van Zieks, coerced by Mael Stronghart	
Genshin Asogi	Seishiro Jigoku	Mael Stronghart	Shot in the chest by Seishiro Jigoku on orders from Mael Stronghart	
Jane the Ripper			Executed after being sentenced to death for murder	
Jezaille Brett	Raiten Menimemo		Poisoned and stabbed in the back by Raiten Menimemo	
Klint van Zieks	Genshin Asogi		Stabbed in the heart in a duel by Genshin Asogi	
Lady Baskerville			Died during childbirth	
Odie Asman	Courtney Sithe		Stabbed with a screwdriver by Courtney Sithe	
Ottermole			Executed after being sentenced to death for murder	
Selden			Passed away of a fever	
Tobias Gregson	Seishiro Jigoku	Mael Stronghart	Shot by Seishiro Jigoku on orders from Mael Stronghart	
