character	killer	responsible party	description	type
Air	Air	Suka	Committed suicide by drinking poison due to having been tortured by Suka	
Amuria	Tsukushi		Shot by Tsukushi	
Apeman			Died from unknown causes (corpse reanimated by Kurome)	undead
Apeman	Tatsumi		Destroyed by Tatsumi	
Arathi	Kurome		Stabbed in the back by Kurome	
Aria	Tatsumi		Slashed by Tatsumi	
Aria's Father	Leone		Neck broken by Leone	
Aria's Mother	Sheele		Bisected by Sheele	
Babara Oarburgh	Babara Oarburgh	Gozuki	Detonated herself after being fatally wounded by Gozuki	
Bach	Akame		Cut down by Akame	
Balluck	Arathi		Murdered by Arathi	
Bill	Akame		Assassinated by Akame	
Bolic	Akame		Struck down by Akame	
Bols	Chelsea		Stabbed in the spinal column by Chelsea	
Budo	Mine		Blasted by Mine	
Bulat	Liver		Poisoned by Liver	
Cassandra	Mez		Fatally wounded by Mez	
Champ	Champ	Run	Incinerated by his own Flame Orb reflected by Run	
Chelsea	Natala		Decapitated by Natala	
Chouri	Liver		Beheaded by Liver	
Cornelia	Taeko		Stabbed in the throat by Taeko	
Cosmina	Tatsumi		Bifurcated by Tatsumi	
Daidara	Bulat		Cut in half by Bulat	
Dangan	Akame		Struck down by Akame	
Daniel	Tsukushi		Shot in the head by Tsukushi	
Dark Squad Supervisor	Esdeath		Decapitated via kicking by Esdeath	
Death Tagool			Died from unknown causes (corpse reanimated by Kurome)	undead
Death Tagool	Susanoo		Destroyed by Susanoo	
Dorothea	Leone		Crushed with a boulder by Leone	
Dousen	Leone		Beaten by Leone	
Doya	Akame		Cut down by Akame	
Doya	Kurome		Murdered by Kurome (corpse reanimated by Kurome)	undead
Enji	Zuou		Boiled alive by Zuou	
Enshin	Akame		Slashed by Akame	
Esdeath	Akame		Stabbed by Akame	
Esdeath	Esdeath		Froze and vaporized herself (anime only)	non-canon
Esdeath's Father			Murdered by the Northern Tribes	
Fal	Suka		Fatally wounded after having been tortured by Suka	
First Emperor			Died from unknown causes	
Gamal	Akame | Leone		Murdered by Akame and Leone	
Gaurry	Akame		Throat slit by Akame	
Gebaze	Chelsea		Neck stabbed by Chelsea	
Gensei	Bulat		Murdered by Bulat	
Gilberda	Gozuki		Fatally wounded by Gozuki	
Gin	Merraid Oarburgh		Exploded from within by Merraid Oarburgh	
Gozuki	Akame		Stabbed by Akame	
