character	killed by	caused by	death	type
Auguste Oberlin	Ezio Auditore da Firenze		Murdered by Ezio Auditore da Firenze	
Brother Ristoro	Ezio Auditore da Firenze		Assassinated by Ezio Auditore da Firenze	
Cesare Borgia	Ezio Auditore da Firenze		Thrown off a castle wall by Ezio Auditore da Firenze	
Cristina Vespucci		Girolamo Savonarola	Fatally wounded by Girolamo Savonarola's followers	
Donato Mancini	Ezio Auditore da Firenze		Murdered by Ezio Auditore da Firenze	
Duccio de Luca			Succumbed from rabies	
Ercole Massimo	Ezio Auditore da Firenze		Murdered by Ezio Auditore da Firenze	
Fabio Orsini			Fatal wound to the head received during the Battle of Garigliano	
Gaspar de la Croix	Ezio Auditore da Firenze		Murdered by Ezio Auditore da Firenze	
Il Carnefice	Ezio Auditore da Firenze		Assassinated by Ezio Auditore da Firenze	
Juan Borgia the Elder	Ezio Auditore da Firenze		Assassinated by Ezio Auditore da Firenze	
Lanz	Ezio Auditore da Firenze		Assassinated by Ezio Auditore da Firenze	
Lia de Russo	Ezio Auditore da Firenze		Assassinated by Ezio Auditore da Firenze	
Lucrezia Borgia			Died from complications during childbirth	
Lucy Stillman	Desmond Miles	Juno	Stabbed in the stomach by Desmond Miles who was under the control of Juno	
Malfatto		Ezio Auditore da Firenze	Assassinated by one of Ezio Auditore da Firenze's recruits	
Manfredo Soderini		Girolamo Savonarola	Fatally wounded by Girolamo Savonarola's followers	
Mario Auditore	Cesare Borgia		Shot in the head by Cesare Borgia	
Nicolaus Copernicus			Died from natural causes	
Octavian de Valois	Ezio Auditore da Firenze		Assassinated by Ezio Auditore da Firenze	
Patrizio		Ercole Massimo	Stabbed in the back by one of Ercole Massimo's men	
Rodrigo Borgia	Cesare Borgia		Poisoned with an apple that Cesare Borgia shoved in his mouth	
Silvestro Sabbatini		Ezio Auditore da Firenze	Assassinated by one of Ezio Auditore da Firenze's recruits	
