character	killed by	caused by	death	type
Alvise da Vilandino			Drowned after falling into the sea during an attack on the fort of Modon	
Antonio Maffei da Volterra	Ezio Auditore da Firenze		Tossed off a tower by Ezio Auditore da Firenze	
Bartolomeo d'Alviano			Died during the siege of Brescia	
Bernardo di Bandino Baroncelli	Ezio Auditore da Firenze		Assassinated by Ezio Auditore da Firenze	
Carlo Grimaldi	Ezio Auditore da Firenze		Assassinated by Ezio Auditore da Firenze	
Caterina Sforza			Died of pneumonia	
Checco Orsi	Ezio Auditore da Firenze		Assassinated by Ezio Auditore da Firenze	
Dante Moro	Ezio Auditore da Firenze		Assassinated by Ezio Auditore da Firenze	
Durante degli Alighieri			Murdered by Templars	
Emilio Barbarigo	Ezio Auditore da Firenze		Assassinated by Ezio Auditore da Firenze	
Federico Auditore da Firenze		Rodrigo Borgia | Uberto Alberti	Hanged after being found guilty of treason, orchestrated by Rodrigo Borgia and Uberto Alberti	
Francesco Salviati Riario	Ezio Auditore da Firenze		Murdered by Ezio Auditore da Firenze	
Francesco de' Pazzi	Ezio Auditore da Firenze		Assassinated by Ezio Auditore da Firenze	
Giovanni Auditore da Firenze		Rodrigo Borgia | Uberto Alberti	Hanged after being found guilty of treason, orchestrated by Rodrigo Borgia and Uberto Alberti	
Girolamo Savonarola	Ezio Auditore da Firenze		Assassinated by Ezio Auditore da Firenze	
Isabetta Auditore			Raped and murdered by pirates hired by Templars	
Jacopo de' Pazzi	Ezio Auditore da Firenze | Rodrigo Borgia		Assassinated by Ezio Auditore da Firenze after having been stabbed in the neck by Rodrigo Borgia	
Lorenzo de' Medici			Died from natural causes	
Ludovico Orsi	Ezio Auditore da Firenze		Assassinated by Ezio Auditore da Firenze	
Marco Barbarigo	Ezio Auditore da Firenze		Shot by Ezio Auditore da Firenze	
Marco Polo			Murdered by Templars	
Niccolò di Bernardo dei Machiavelli			Died from natural causes	
Petruccio Auditore da Firenze		Rodrigo Borgia | Uberto Alberti	Hanged after being found guilty of treason, orchestrated by Rodrigo Borgia and Uberto Alberti	
Silvio Barbarigo	Ezio Auditore da Firenze		Assassinated by Ezio Auditore da Firenze	
Stefano da Bagnone	Ezio Auditore da Firenze		Assassinated by Ezio Auditore da Firenze	
Uberto Alberti	Ezio Auditore da Firenze		Stabbed multiple times in the chest by Ezio Auditore da Firenze	
Vieri de' Pazzi	Ezio Auditore da Firenze		Murdered by Ezio Auditore da Firenze	
