character	killed by	caused by	death	type
Abu'l Nuqoud	Altaïr Ibn-La'Ahad	Al Mualim	Assassinated by Altaïr Ibn-La'Ahad on orders from Al Mualim	
Al Mualim	Altaïr Ibn-La'Ahad		Stabbed with his hidden blade by Altaïr Ibn-La'Ahad	
Garnier de Naplouse	Altaïr Ibn-La'Ahad	Al Mualim	Assassinated by Altaïr Ibn-La'Ahad on orders from Al Mualim	
Jubair al Hakim	Altaïr Ibn-La'Ahad	Al Mualim	Assassinated by Altaïr Ibn-La'Ahad on orders from Al Mualim	
Kadar Al-Sayf	Robert de Sablé		Murdered during a fight with Robert de Sablé	
Leila Marino			Died under mysterious circumstances	
Majd Addin	Altaïr Ibn-La'Ahad	Al Mualim	Assassinated by Altaïr Ibn-La'Ahad on orders from Al Mualim	
Master Sibrand	Altaïr Ibn-La'Ahad	Al Mualim	Assassinated by Altaïr Ibn-La'Ahad on orders from Al Mualim	
Masun	Al Mualim		Stabbed through the neck with a sword by Al Mualim	
Robert de Sablé	Altaïr Ibn-La'Ahad	Al Mualim	Murdered by Altaïr Ibn-La'Ahad on orders from Al Mualim	
Talal	Altaïr Ibn-La'Ahad	Al Mualim	Assassinated by Altaïr Ibn-La'Ahad on orders from Al Mualim	
Tamir	Altaïr Ibn-La'Ahad	Al Mualim	Assassinated by Altaïr Ibn-La'Ahad on orders from Al Mualim	
William of Montferrat	Altaïr Ibn-La'Ahad	Al Mualim	Assassinated by Altaïr Ibn-La'Ahad on orders from Al Mualim	
