character	killer	responsible party	description	type
Abel			Shot in the head by a member of the Anti-Personnel Control Squad	
Abel Reiss	Grisha Jaeger	Eren Jaeger	Crushed under his hand by Grisha Jaeger on orders from Eren Jaeger	
Alma	Kenny Ackermann		Throat slit by Kenny Ackermann	
Anka Rheinberger			Died from unknown causes	
Armin's grandfather			Devoured by a Titan during the operation to retake Wall Maria	
Bandits Axe-man	Eren Jaeger		Stabbed by Eren Jaeger	
Bandits Latecomer	Mikasa Ackermann		Stabbed in the back of the heart by Mikasa Ackermann	
Bandits Leader	Eren Jaeger		Stabbed multiple times by Eren Jaeger	
Beane	Annie Leonhart		Slain by Annie Leonhart	
Beirer			Devoured by a Titan	
Bertholdt Hoover	Armin Arlelt	Levi Ackermann	Devoured by Armin Arlelt as a Pure Titan, fed to him by Levi Ackermann	
Calvi	Eren Jaeger		Crushed by Eren Jaeger as a Titan	
Carla Jaeger	Dina Fritz	Eren Jaeger	Wrenched in half by Dina Fritz as a Pure Titan on orders from Eren Jaeger	
Carlo	Sasha Braus		Shot in the head by Sasha Braus	
Caven	Rod Reiss		Struck by falling debris from the cavern cave-in caused by Rod Reiss' transformation	
Charrette			Died from unknown causes	
Colt Grice	Falco Grice	Zeke Jaeger	Incinerated by Falco Grice's transformation caused by Zeke Jaeger	
Comrade D	Mikasa Ackermann	Gross	Slain by Mikasa Ackermann after being transformed into a Titan by Gross	
Conny's father		Zeke Jaeger	Slain by the Scout Regiment after being transformed into a Titan by Zeke Jaeger	
Darius Baer Walbrunn	Annie Leonhart		Kicked into the air by Annie Leonhart	
Daz	Conny Springer		Shot in the head by Conny Springer	
Dhalis Zachary			Caught in an explosion set up by the Jaegerists	
Dieter			Died from unknown causes	
Dieter Ness	Annie Leonhart		Thrown into the ground by Annie Leonhart	
Dimo Reeves	Kenny Ackermann		Throat slit by Kenny Ackermann	
Dina Fritz		Eren Jaeger | Gross	Devoured by Titans on orders from Eren Jaeger after being transformed into a Titan by Gross	
Dirk	Zeke Jaeger		Torn to pieces by a barrage of rocks sent by Zeke Jaeger	
Dirk Reiss	Grisha Jaeger	Eren Jaeger	Crushed under his hand by Grisha Jaeger on orders from Eren Jaeger	
Dot Pyxis	Armin Arlelt	Zeke Jaeger	Blown up with a Thunder Spear by Armin Arlelt after being transformed into a Titan by Zeke Jaeger	
Duran	Levi Ackermann		Stabbed by Levi Ackermann	
Eld Gin	Annie Leonhart		Bitten in half by Annie Leonhart	
Eren Jaeger	Mikasa Ackermann		Beheaded by Mikasa Ackermann	
Eren Kruger	Grisha Jaeger	Eren Kruger	Allows himself to be devoured by Grisha Jaeger as a Pure Titan	
Erwin Smith	Zeke Jaeger		Mortally wounded after being struck by a stone sent by Zeke Jaeger	
Fay Jaeger		Gross	Devoured by dogs on orders from Gross	
Flagon			Devoured by an Abnormal Titan	
Floch Forster	Mikasa Ackermann		Bled out after being shot with an anchor in the throat by Mikasa Ackermann	
Florian Reiss	Grisha Jaeger	Eren Jaeger	Stomped with his feet by Grisha Jaeger on orders from Eren Jaeger	
Franz Kefka			Bisected by a Titan	
Frieda Reiss	Grisha Jaeger	Eren Jaeger	Devoured by Grisha Jaeger on orders from Eren Jaeger	
Frieda's mother	Grisha Jaeger	Eren Jaeger	Stomped with his feet by Grisha Jaeger on orders from Eren Jaeger	
Fritz			Died from natural causes	
Furlan Church			Bisected by a Titan	
Gelgar		Zeke Jaeger	Ripped apart by Titans controlled by Zeke Jaeger	
Gordon	Zeke Jaeger		Perished via projectiles sent by Zeke Jaeger	
Greiz	Yelena		Shot in the head by Yelena	
Grice		Gross	Devoured by Titans after being thrown off the Wall by Gross	
Grisha Jaeger	Eren Jaeger	Grisha Jaeger	Allows himself to be devoured by Eren Jaeger as a Pure Titan	
Grisha's mother		Eren Jaeger	Crushed during the Rumbling controlled by Eren Jaeger	
Gross	Comrade D	Eren Kruger	Devoured by Comrade D as a Pure Titan after being pushed off the Wall by Eren Kruger	
Gunther Schultz	Annie Leonhart		Neck sliced by Annie Leonhart	
Halil		Eren Jaeger	Crushed by debris during the Rumbling controlled by Eren Jaeger	
Hange Zoë		Eren Jaeger	Incinerated by the Wall Titans during the Rumbling controlled by Eren Jaeger	
Hanna Diament			Died from unknown causes	
Hannes	Dina Fritz		Lower half severed by Dina Fritz as a Pure Titan	
Harold	Bertholdt Hoover		Caught in the explosion caused by Bertholdt Hoover's transformation	
Henning	Zeke Jaeger		Struck by a projectile thrown by Zeke Jaeger	
Hugo	Reiner Braun		Crushed by Reiner Braun as a Titan	
Ian Dietrich			Devoured by a Titan	
Ilse Langnar	Talking Titan		Head bitten off by the Talking Titan	
Isabel Magnolia			Head severed by an Abnormal Titan	
Ivan			Died from unknown causes	
Jaeger		Eren Jaeger	Crushed during the Rumbling controlled by Eren Jaeger	
Jurgen			Devoured by a Titan	
Karl Fritz			Devoured by his successor	
Keiji			Shot by a member of the Anti-Personnel Control Squad	
Keith Sadies	Theo Magath	Keith Sadies	Commits suicide along Theo Magath by allowing him to detonate the ship they have boarded	
Kemper Boltz	Elliot G. Stratmann		Murdered by Elliot G. Stratmann	
Kenny Ackermann	Rod Reiss		Fatally burned during the cavern cave-in caused by Rod Reiss' transformation	
Kenny's grandpa			Died from an illness	
Klaus	Zeke Jaeger		Struck by a projectile thrown by Zeke Jaeger	
Koslow	Mikasa Ackermann		Slashed by Mikasa Ackermann	
Kuchel Ackermann			Died from an illness	
Lara Tybur	Eren Jaeger | Porco Galliard		Crushed by Eren Jaeger using Porco Galliard's Jaw as a nutcracker	
Lauda			Died from unknown causes	
Lobov	Gabi Braun		Shot in the eye by Gabi Braun	
Luke Cis	Annie Leonhart		Crushed in her hand by Annie Leonhart	
Lynne	Zeke Jaeger		Struck by a projectile thrown by Zeke Jaeger	
Marcel Galliard	Ymir		Devoured by Ymir as a Pure Titan	
Marco Bodt		Annie Leonhart | Reiner Braun	Devoured by a Titan after having his equipment removed by Annie Leonhart on orders from Reiner Braun	
Maria Fritz			Died from unknown causes	
Marlene	Zeke Jaeger		Struck by a projectile thrown by Zeke Jaeger	
Marlo Freudenberg	Zeke Jaeger		Right side of his head obliterated by a rock thrown by Zeke Jaeger	
Martin Springer		Zeke Jaeger	Slain by the Scout Regiment after being transformed into a Titan by Zeke Jaeger	
Miche Zacharius		Zeke Jaeger	Ripped apart by Titans on orders from Zeke Jaeger	
Mikasa Ackermann			Died of old age	
Mikasa's father	Bandits Leader		Stabbed by the Bandits Leader	
Mikasa's mother	Bandits Axe-man		Struck with an axe by the Bandits Axe-man	
Milieus Zeremski			Devoured by a Titan	
Mina Carolina	Comrade D		Devoured by Comrade D as a Pure Titan	
Mitabi Jarnach			Crushed by a Titan	
Moblit Berner	Bertholdt Hoover		Caught in the explosion caused by Bertholdt Hoover's transformation	
Moses			Devoured by a Titan	
Mr. Smith	Djel Sannes		Tortured and murdered by Djel Sannes	
Nack Tierce			Swatted out of the air by a Titan	
Nanaba		Zeke Jaeger	Ripped apart by Titans controlled by Zeke Jaeger	
Nick	Djel Sannes | Ralph		Tortured and murdered by Djel Sannes and Ralph	
Nifa	Kenny Ackermann		Shot in the head by Kenny Ackermann	
Nile Dawk	Gabi Braun	Zeke Jaeger	Shot with an anti-Titan rifle by Gabi Braun after being transformed into a Titan by Zeke Jaeger	
Oliver	Hange Zoë		Shot by Hange Zoë	
Oruo Bozad	Annie Leonhart		Kicked by Annie Leonhart	
Peer		Reiner Braun	Devoured by a Titan thrown his way by Reiner Braun	
Petra Rall	Annie Leonhart		Splattered against a tree after being kicked by Annie Leonhart	
Porco Galliard	Falco Grice	Porco Galliard	Allows himself to be devoured by Falco Grice as a Pure Titan	
Ramzi		Eren Jaeger	Crushed during the Rumbling controlled by Eren Jaeger	
Rashad			Died from unknown causes	
Rod Reiss	Historia Reiss		Sliced by Historia Reiss	
Rod and Uri's father	Uri Reiss		Devoured by Uri Reiss as a Pure Titan	
Roeg	Keith Sadies	Zeke Jaeger	Slain by Keith Sadies after being transformed into a Titan by Zeke Jaeger	
Rose Fritz			Died from unknown causes	
Ruth D. Kline			Died from unknown causes	
Samuel Linke-Jackson	Conny Springer		Shot in the head by Conny Springer	
Sandra	Zeke Jaeger		Struck by a projectile thrown by Zeke Jaeger	
Sasha Braus	Gabi Braun		Bled out after being shot in the stomach by Gabi Braun	
Sawney	Annie Leonhart		Slain by Annie Leonhart	
Sina Fritz			Died from unknown causes	
Sunny Springer		Zeke Jaeger	Slain by the Scout Regiment after being transformed into a Titan by Zeke Jaeger	
Talking Titan	Levi Ackermann		Slain by Levi Ackermann	
Theo Magath	Theo Magath		Commits suicide along Theo Magath by detonating the ship they have boarded	
Thomas Wagner			Devoured by an Abnormal Titan	
Tom			Devoured by a Titan	
Tom Xaver	Zeke Jaeger		Devoured by Zeke Jaeger as a Pure Titan	
Tomas			Died from unknown causes	
Udo		Eren Jaeger	Trampled during a panic caused by Eren Jaeger	
Ulklin Reiss	Grisha Jaeger	Eren Jaeger	Squeezed in his hand by Grisha Jaeger on orders from Eren Jaeger	
Uri Reiss	Frieda Reiss		Devoured by Frieda Reiss as a Pure Titan	
Varis	Levi Ackermann	Zeke Jaeger	Slain by Levi Ackermann after being transformed into a Titan by Zeke Jaeger	
Wald	Lou		Bled out after being shot by Lou	
Willy Tybur	Eren Jaeger		Crushed in his hand by Eren Jaeger	
Ymir	Porco Galliard		Devoured by Porco Galliard as a Pure Titan	
Ymir Fritz			Stabbed with a spear during an assassination attempt on Fritz	
Zeke Jaeger	Levi Ackermann		Decapitated by Levi Ackermann	
Zofia	Eren Jaeger		Crushed by a boulder hurled due to Eren Jaeger's transformation	
