character	killed by	caused by	death	type
Amanecida of the Bejeweled Arrow		High Wills	Succumbed from an unknown curse caused by the High Wills (resurrected by the High Wills)	revived
Amanecida of the Bejeweled Arrow	Penitent One		Slain by the Penitent One	
Amanecida of the Chiselled Steel		High Wills	Succumbed from an unknown curse caused by the High Wills (resurrected by the High Wills)	revived
Amanecida of the Chiselled Steel	Penitent One		Slain by the Penitent One	
Amanecida of the Golden Blades		High Wills	Succumbed from an unknown curse caused by the High Wills (resurrected by the High Wills)	revived
Amanecida of the Golden Blades	Penitent One		Slain by the Penitent One	
Amanecida of the Molten Thorn		High Wills	Succumbed from an unknown curse caused by the High Wills (resurrected by the High Wills)	revived
Amanecida of the Molten Thorn	Penitent One		Slain by the Penitent One	
Cleofás	Cleofás		Jumped from a roof (dependent on player choice)	determinant
Dolphos	Dolphos		Bathed his own entrails in silver to achieve purity of flesh	
Engracia			Died from unknown causes	
Esdras, of the Anointed Legion	Penitent One		Slain by the Penitent One (dependent on player choice)	determinant
Expósito, Scion of Abjuration	Penitent One		Slain by the Penitent One	
Gémino			Entombed within a tree (dependent on player choice)	determinant
High Wills	Penitent One | Crisanta of the Wrapped Agony		Stabbed in the eye by the Penitent One and head bisected by Crisanta of the Wrapped Agony (Ending C)	
His Holiness Escribar	High Wills		Burned to ashes by the High Wills (resurrected by the High Wills)	revived
His Holiness Escribar	Penitent One		Bisected by the Penitent One (Ending C)	
His Holiness Escribar	Penitent One		Slain by the Penitent One (Ending A)	determinant
His Holiness Escribar	Penitent One		Slain by the Penitent One (Ending B)	determinant
Isidora, Voice of the Dead	Penitent One		Slain by the Penitent One	
Laudes, the First of the Amanecidas		High Wills	Succumbed from an unknown curse caused by the High Wills (resurrected by the High Wills)	revived
Laudes, the First of the Amanecidas	Penitent One		Slain by the Penitent One	
Melquíades, the Exhumed Archbishop	Penitent One		Slain by the Penitent One	
Nacimiento	Ancient One		Chest burst open by the Ancient One	
Our Lady of the Charred Visage	Penitent One		Slain by the Penitent One	
Penitent One		High Wills	Swallowed by the mountain of ash created by the High Wills (Ending B)	determinant
Penitent One		Penitent One	Died after ending the Miracle (resurrected by the High Wills) (Ending C)	revived
Penitent One	Penitent One		Stabbed himself in the heart with Mea Culpa (Ending A)	determinant
Perpetva			Died in battle	
Quirce, Returned By The Flames	Penitent One		Slain by the Penitent One	
Redento			Passed on after completing his pilgrimage	
Sierpes	Penitent One		Slain by the Penitent One	
Socorro	Penitent One		Slain by the Penitent One (dependent on player choice)	determinant
Ten Piedad	Penitent One		Slain by the Penitent One	
Tentudia			Murdered by nuns	
Tres Angustias	Penitent One		Slain by the Penitent One	
Twisted One		High Wills	Succumbed from an affliction caused by the High Wills	
Viridiana			Died of old age (dependent on player choice)	determinant
Warden of the Silent Sorrow	Penitent One		Slain by the Penitent One	
