character	killed by	death	type
Eiichirō Saiyama	Takumi Hijirihara	Impaled with his pens by Takumi Hijirihara	
Hana Niyama	Rei Shimizu	Murdered by Rei Shimizu	
Kenji Tsuruhashi	Takumi Hijirihara	Strangled to death with his tie by Takumi Hijirihara	
Mimiko Tomizawa	Takumi Hijirihara	Decapitated by Takumi Hijirihara	
Momomichi Itō	Takumi Hijirihara	Sliced to pieces with a knife by Takumi Hijirihara	
Nobuo Takeda	Mimiko Tomizawa	Decapitated by Mimiko Tomizawa	
Rei Shimizu	Takumi Hijirihara	Slashed by Takumi Hijirihara	
Republic of Lamieca's Secretary of Defence	Kenji Tsuruhashi	Hanged by Kenji Tsuruhashi	
Shūji Fujigawa	Takumi Hijirihara	Impaled by Takumi Hijirihara	
Ted Chikatilo	Takumi Hijirihara	Blown up with fireworks by Takumi Hijirihara	
