character	killed by	induced by	death	type
Akio Chage	Sae Yozuru	Mikado Shinsen	Strangled by Sae Yozuru during the Norman's Hotel Murder Case orchestrated by Mikado Shinsen	
Dragunov	Johnny Arp		Shot in the head by Johnny Arp	
Eigo Amino	Tadashi Asakura	Tōkichirō Endō	Dismembered by Tadashi Asakura during the Sirius Astronomical Observatory Murder Case hosted by Tōkichirō Endō	
Foreign Agents	Tsurugi Hitomoshi	Gekka Ryūzōji	Necks snapped by Tsurugi Hitomoshi during the First Battle Of The New Duel Noir Challenge hosted by Gekka Ryūzōji	
Framed Astrologer	Kou Inuzuka		Incinerated by Kou Inuzuka	
Fukuju Idogaki	Kariyasu Karasuba	Gekka Ryūzōji	Incinerated in a cottage by Kariyasu Karasuba during the Twelve Zodiac Duel Noir Challenge hosted by Gekka Ryūzōji	
Gekka Ryūzōji			Died of an illness	
Hajiki Yaki	Sachi Mizuiyama		Bludgeoned in the head with a pipe by Sachi Mizuiyama	
Hana Takezaki	Sachi Mizuiyama	Gekka Ryūzōji	Bludgeoned with a pipe by Sachi Mizuiyama during the Twelve Zodiac Duel Noir Challenge hosted by Gekka Ryūzōji	
Joshua Lindberg	TAC50	Johnny Arp	Shot in the head by TAC50 via manipulation by Johnny Arp	
Kanji Yuhain	Yui Samidare | Kanji Yuhain	Tōkichirō Endō | Mikado Shinsen	Crushed by rubble after being dragged off a cliff by Yui Samidare when the Observatory he set fire to exploded, during the Final Duel Noir hosted by Tōkichirō Endō and orchestrated by Mikado Shinsen	
Katsumi Kodama	Gunzō Arai | Hajiki Yaki	Gekka Ryūzōji	Stabbed with a poison-coated knife via a trap setup by Gunzō Arai, unknowingly triggered by Hajiki Yaki, during the Twelve Zodiac Duel Noir Challenge hosted by Gekka Ryūzōji	
Kou Inuzuka	Tadashi Asakura	Tōkichirō Endō	Dismembered by Tadashi Asakura during the Sirius Astronomical Observatory Murder Case hosted by Tōkichirō Endō	
Kyoko's Mother			Died of an illness	
M60	Johnny Arp		Careened off a cliff when Johnny Arp shot his truck's tires	
M60's Driver	Johnny Arp		Careened off a cliff when Johnny Arp shot his truck's tires	
Mayu Samidare	Kanji Yuhain		Murdered by Kanji Yuhain	
Meruko Mifune	Suisei Nanamura	Mikado Shinsen	Bled out after being shot by Suisei Nanamura during the Norman's Hotel Murder Case orchestrated by Mikado Shinsen	
Mikado Shinsen	Mikado Shinsen		Stabbed himself in the temple	
Norman			Died from unknown causes prior to the story	
Norman's Mother			Died from unknown causes prior to the story	
Rei Naruko	Tōru Uchida	Gekka Ryūzōji	Stabbed with a sharpened candle by Tōru Uchida during the Twelve Zodiac Duel Noir Challenge hosted by Gekka Ryūzōji	
Sae Yozuru	Suisei Nanamura	Mikado Shinsen	Head bashed in with a hammer by Suisei Nanamura during the Norman's Hotel Murder Case orchestrated by Mikado Shinsen	
Seiunsai Toyano'ō	Sae Yozuru	Mikado Shinsen	Strangled by Sae Yozuru during the Norman's Hotel Murder Case orchestrated by Mikado Shinsen	
Senshi Kadomi	Kanji Yuhain	Tōkichirō Endō | Mikado Shinsen	Stabbed by Kanji Yuhain during the Final Duel Noir hosted by Tōkichirō Endō and orchestrated by Mikado Shinsen	
Shiita Enbi	Tadashi Asakura	Tōkichirō Endō	Murdered by Tadashi Asakura in preparation for the Sirius Astronomical Observatory Murder Case hosted by Tōkichirō Endō	
Shikon Kyūren	Tōya Tsutsumi	Gekka Ryūzōji	Stabbed by Tōya Tsutsumi during the Twelve Zodiac Duel Noir Challenge hosted by Gekka Ryūzōji	
Shiroko Yukimura	Kanji Yuhain	Tōkichirō Endō | Mikado Shinsen	Stabbed by Kanji Yuhain during the Final Duel Noir hosted by Tōkichirō Endō and orchestrated by Mikado Shinsen	
Shōko	Fukuju Idogaki		Suffocated with hydrogen sulfide by Fukuju Idogaki	
Stray Cat			Died from unknown causes prior to the story	
Suisei Nanamura	Suisei Nanamura	Mikado Shinsen	Shot himself in the head on orders from Mikado Shinsen	
Suntetsu Shirasu	Korisu Kakitsubata	Gekka Ryūzōji	Stabbed through the back with a katana via a trap setup by Korisu Kakitsubata during the Twelve Zodiac Duel Noir Challenge hosted by Gekka Ryūzōji	
Suō Kyūren	Tōya Tsutsumi	Gekka Ryūzōji	Stabbed by Tōya Tsutsumi during the Twelve Zodiac Duel Noir Challenge hosted by Gekka Ryūzōji	
Tadashi Asakura		Mikado Shinsen | Gekka Ryūzōji | Johnny Arp	Murdered in a fake car crash by the Victims Catharsis Committee, led by Mikado Shinsen, Gekka Ryūzōji and Johnny Arp	
Taehime Uozumi	Sae Yozuru	Mikado Shinsen	Incinerated with rigged clothes by Sae Yozuru during the Norman's Hotel Murder Case orchestrated by Mikado Shinsen	
Throwing Knives	Johnny Arp		Shot in the head by Johnny Arp	
Tōhachirō Uzuchi	Mikado Shinsen		Murdered by Mikado Shinsen	
Tōya Tsutsumi	Johnny Arp		Shot in the forehead by Johnny Arp	
Yui Samidare	Kanji Yuhain | Yui Samidare		Bled out after having been impaled, crushed and burned by the Observatory's explosion setup by Kanji Yuhain, finally used her own body to shield Kyoko from the cold which led to her own death	
Yūzen Minase	Suisei Nanamura	Mikado Shinsen	Shot in the face by Suisei Nanamura during the Norman's Hotel Murder Case orchestrated by Mikado Shinsen	
