character	killed by	caused by	death	type
Asa Togami	Shirō Togami		Stabbed in the chest by Shirō Togami with her own knife	
Asagao Togami	Asagao Togami		Decapitated herself using her suicide device	
Borges	Yuika Ketōin		Destroyed by Yuika Ketōin	
Eyumi Togami	Jirō Togami		Throat slit by Jirō Togami	
Hiroyuki Ketōin	Yuika Ketōin		Shot in the forehead by Yuika Ketōin	
Hiru Togami	Kazuya Togami		Stabbed by Kazuya Togami with his lightsaber	
Ichirō Togami	Kazuya Togami		Stabbed by Kazuya Togami with his lightsaber	
Jirō Togami	Suzuhiko Togami		Stabbed in the back by Suzuhiko Togami	
Kazuichi Soda AI	Aloysius Pennyworth		Destroyed by Aloysius Pennyworth	
Mitsuzō Togami	Takaya Togami		Hanged by Takaya Togami	
Saburō Togami	Takaya Togami		Incinerated alongside the castle by Takaya Togami	
Shirō Togami	Asa Togami		Stabbed with a knife by Asa Togami	
Subordinate Kanai	Suzuhiko Ōtsuki		Sliced in half by Suzuhiko Ōtsuki	
Suzuhiko Ōtsuki	Yuika Ketōin		Shot in the chest by Yuika Ketōin	
Taeko Kanai	Suzuhiko Ōtsuki		Throat slit and then sliced to pieces by Suzuhiko Ōtsuki	
Takaya Togami	Suzuhiko Togami		Stabbed with several knives by Suzuhiko Togami	
The Chief	Suzuhiko Ōtsuki		Sliced in half vertically by Suzuhiko Ōtsuki	
The Club President	Suzuhiko Ōtsuki		Sliced in half by Suzuhiko Ōtsuki	
The Treasurer	Suzuhiko Ōtsuki		Sliced in half by Suzuhiko Ōtsuki	
The Vice President	Suzuhiko Ōtsuki		Sliced in half by Suzuhiko Ōtsuki	
Wasuke Togami	Kazuya Togami		Stabbed by Kazuya Togami with his lightsaber	
Yoru Togami	Kazuya Togami		Decapitated by Kazuya Togami	
Yuika Ketōin	Kazuya Togami		Stabbed multiple times and decapitated by Kazuya Togami	
Yūsuke Togami	Kazuya Togami		Decapitated by Kazuya Togami using his own suicide device	
