character	killed by	death	type
Celestia Ludenberg	Monokuma | Junko Enoshima	Crushed by a fire truck during her execution set up by Monokuma and Junko Enoshima	
Chihiro Fujisaki	Mondo Owada | Monokuma | Junko Enoshima	Hit in the head with a dumbbell by Mondo Owada, during the Killing School Life orchestrated by Monokuma and Junko Enoshima	
Chuck		Died from unknown causes	
Daiya Owada	Daiya Owada	Ran over by a truck to save his brother Mondo	
Gaku Shouji	Genocide Jack	Murdered by Genocide Jack	
Hifumi Yamada	Celestia Ludenberg | Monokuma | Junko Enoshima	Bludgeoned in the head with a hammer by Celestia Ludenberg, during the Killing School Life orchestrated by Monokuma and Junko Enoshima	
Issei Kanno	Genocide Jack	Murdered by Genocide Jack	
Jin Kirigiri	Monokuma | Junko Enoshima	Incinerated by Monokuma, controlled by Junko Enoshima	
Junko Enoshima	Junko Enoshima	Crushed during the execution she set up for herself	
Ken Harada	Genocide Jack	Murdered by Genocide Jack	
Kiyotaka Ishimaru	Hifumi Yamada | Celestia Ludenberg | Monokuma | Junko Enoshima	Bludgeoned in the back of the head with a hammer by Hifumi Yamada via manipulation by Celestia Ludenberg, during the Killing School Life orchestrated by Monokuma and Junko Enoshima	
Kyoko Kirigiri	Monokuma | Junko Enoshima	Crushed during her execution set up by Monokuma and Junko Enoshima (Bad End)	determinant | non-canon
Kyoko Kirigiri's Mother		Died of an illness	
Leon Kuwata	Monokuma | Junko Enoshima	Pummeled by baseballs shot out of a pitching machine during his execution set up by Monokuma and Junko Enoshima	
Mondo Owada	Monokuma | Junko Enoshima	Electrocuted during his execution set up by Monokuma and Junko Enoshima	
Mukuro Ikusaba	Monokuma | Junko Enoshima	Impaled with multiple spears by Monokuma, controlled by Junko Enoshima	
Sakura Ogami	Sakura Ogami | Monokuma | Junko Enoshima	Drank poison, during the Killing School Life orchestrated by Monokuma and Junko Enoshima	
Sayaka Maizono	Leon Kuwata | Monokuma | Junko Enoshima	Stabbed in the stomach by Leon Kuwata, during the Killing School Life orchestrated by Monokuma and Junko Enoshima	
Tetsuhiro Honda	Genocide Jack	Murdered by Genocide Jack	
Toranosuke Ishimaru		Died from unknown causes	
