character	killer	responsible party	description	type
Chiaki Nanami AI	Alter Ego Junko	Hajime Hinata	Crushed during her execution set up by Alter Ego Junko, during the Killing School Trip orchestrated by Hajime Hinata	
Daisuke			Died of an illness	
Gundham Tanaka	Alter Ego Junko	Hajime Hinata	Trampled during his execution set up by Alter Ego Junko, during the Killing School Trip orchestrated by Hajime Hinata	temporary, awakened from the simulation
Hiyoko Saionji	Mikan Tsumiki	Hajime Hinata, Alter Ego Junko	Throat slit by Mikan Tsumiki, during the Killing School Trip orchestrated by Hajime Hinata and the Alter Ego Junko	temporary, awakened from the simulation
Ibuki Mioda	Mikan Tsumiki	Hajime Hinata, Alter Ego Junko	Strangled with a rope by Mikan Tsumiki, during the Killing School Trip orchestrated by Hajime Hinata and the Alter Ego Junko	temporary, awakened from the simulation
Izuru Kamukura			Died from unknown causes	
Alter Ego Junko	Monomi		Erased from existence by Monomi	
Mahiru Koizumi	Peko Pekoyama	Hajime Hinata, Alter Ego Junko	Bludgeoned on the head with a bat by Peko Pekoyama, during the Killing School Trip orchestrated by Hajime Hinata and the Alter Ego Junko	temporary, awakened from the simulation
Mikan Tsumiki	Alter Ego Junko	Hajime Hinata	Died via lethal injection during her execution set up by Alter Ego Junko, during the Killing School Trip orchestrated by Hajime Hinata	temporary, awakened from the simulation
Nagito Komaeda	Chiaki Nanami AI	Nagito Komaeda, Hajime Hinata, Alter Ego Junko	Poisoned by Chiaki Nanami AI via manipulation by himself, during the Killing School Trip orchestrated by Hajime Hinata and the Alter Ego Junko	temporary, awakened from the simulation
Nagito Komaeda's Dog			Ran over by a truck	
Nekomaru Nidai	Gundham Tanaka	Hajime Hinata, Alter Ego Junko	Dropped from a high place by Gundham Tanaka, during the Killing School Trip orchestrated by Hajime Hinata and the Alter Ego Junko	temporary, awakened from the simulation
Peko Pekoyama	Alter Ego Junko	Hajime Hinata	Stabbed in the back during her execution set up by Alter Ego Junko, during the Killing School Trip orchestrated by Hajime Hinata	temporary, awakened from the simulation
Teruteru Hanamura	Alter Ego Junko	Hajime Hinata	Fried during his execution set up by Alter Ego Junko, during the Killing School Trip orchestrated by Hajime Hinata	temporary, awakened from the simulation
Ultimate Imposter	Teruteru Hanamura	Hajime Hinata, Alter Ego Junko	Stabbed with a skewer by Teruteru Hanamura, during the Killing School Trip orchestrated by Hajime Hinata and the Alter Ego Junko	temporary, awakened from the simulation
