character	killed by	caused by	death	type
Abyss Watchers	Abyss Watchers		Burned themselves in the First Flame (revived)	revived
Abyss Watchers	Ashen One | Black Hand Gotthard | Londor Pale Shade | Sirris of the Sunless Realms | Yellowfinger Heysel		Slain by the Ashen One, assisted by Black Hand Gotthard, Londor Pale Shade, Sirris of the Sunless Realms or Yellowfinger Heysel	
Aldrich, Devourer of Gods	Aldrich, Devourer of Gods		Burned himself in the First Flame (revived)	revived
Aldrich, Devourer of Gods	Anri of Astora | Ashen One		Slain by Anri of Astora, assisted by the Ashen One	
Aldrich, Devourer of Gods	Ashen One		Slain by the Ashen One	
Alva, Seeker of the Spurned	Ashen One		Slain by the Ashen One	
Alva, Seeker of the Spurned	Ashen One		Slain by the Ashen One (revived)	revived
Ancient Wyvern	Ashen One		Slain by the Ashen One	
Angels	Ashen One		Slain by the Ashen One	
Anri of Astora	Ashen One		Slain by the Ashen One	
Anri of Astora	Horace the Hushed		Slain by Horace the Hushed (dependent on player choice)	determinant
Anri of Astora	Old Woman of Londor	Yuria of Londor	Assassinated by Old Woman of Londor on orders from Yuria of Londor (dependent on player choice)	determinant
Archdeacon Royce	Ashen One | Anri of Astora | Horace the Hushed | Sirris of the Sunless Realms		Slain by the Ashen One, assisted by Anri of Astora, Horace the Hushed or Sirris of the Sunless Realms	
Ashen One	Ashen One		Burned themself in the First Flame (dependent on player choice)	determinant
Ashen One	Ashen One		Burned themself in the First Flame (revived)	revived
Black Hand Gotthard			Passed away after the Ashen One defeated the first three Lords of Cinder	
Black Hand Kamui	Ashen One		Slain by the Ashen One	
Boreal Outrider Knight (Grand Archives)	Ashen One		Slain by the Ashen One	
Boreal Outrider Knight (Lothric Castle)	Ashen One		Slain by the Ashen One	
Boreal Outrider Knight (Undead Settlement)	Ashen One		Slain by the Ashen One	
Brigand	Ashen One		Slain by the Ashen One	
Carthus Sand Worm	Ashen One		Slain by the Ashen One	
Champion Gundyr	Ashen One		Slain by the Ashen One	
Champion's Gravetender	Ashen One		Slain by the Ashen One	
Court Sorcerer	Ashen One		Slain by the Ashen One	
Creighton the Wanderer	Ashen One		Slain by the Ashen One	
Creighton the Wanderer	Sirris of the Sunless Realms | Ashen One		Slain by Sirris of the Sunless Realms, assisted by the Ashen One (revived)	revived
Crystal Lizard (Archdragon Peak)	Ashen One		Slain by the Ashen One	
Crystal Lizard (Cemetery of Ash)	Ashen One		Slain by the Ashen One	
Crystal Lizard (High Wall of Lothric)	Ashen One		Slain by the Ashen One	
Crystal Lizard (Lothric Castle)	Ashen One		Slain by the Ashen One	
Crystal Lizards (Catacombs of Carthus)	Ashen One		Slain by the Ashen One	
Crystal Lizards (Cathedral of the Deep)	Ashen One		Slain by the Ashen One	
Crystal Lizards (Farron Keep)	Ashen One		Slain by the Ashen One	
Crystal Lizards (Grand Archives)	Ashen One		Slain by the Ashen One	
Crystal Lizards (Irithyll Dungeon)	Ashen One		Slain by the Ashen One	
Crystal Lizards (Irithyll of the Boreal Valley)	Ashen One		Slain by the Ashen One	
Crystal Lizards (Profaned Capital)	Ashen One		Slain by the Ashen One	
Crystal Lizards (Road of Sacrifices)	Ashen One		Slain by the Ashen One	
Crystal Lizards (Smouldering Lake)	Ashen One		Slain by the Ashen One	
Crystal Lizards (Undead Settlement)	Ashen One		Slain by the Ashen One	
Crystal Sage	Ashen One | Eygon of Carim		Slain by the Ashen One, assisted by Eygon of Carim	
Curse-rotted Greatwood	Ashen One		Slain by the Ashen One	
Dancer of the Boreal Valley	Ashen One | Sword Master		Slain by the Ashen One, assisted by Sword Master	
Dark Sun Gwyndolin	Aldrich, Devourer of Gods	Ashen One	Half devoured by Aldrich, Devourer of Gods, allowed to die when the Ashen One slew Aldrich, Devourer of Gods	
Darkeater Midir	Ashen One | Shira, Knight of Filianore		Slain by the Ashen One, assisted by Shira, Knight of Filianore	
Daughter of Crystal Kriemhild	Ashen One		Slain by the Ashen One	
