character	killed by	caused by	death	type
Anastacia of Astora	Knight Lautrec of Carim		Slain by Knight Lautrec of Carim (revived, dependent on player choice)	temporary | variable
Asylum Demon	Chosen Undead		Slain by the Chosen Undead	
Bed of Chaos	Chosen Undead		Slain by the Chosen Undead	
Bell Gargoyles	Chosen Undead | Knight Lautrec of Carim | Solaire of Astora		Slain by the Chosen Undead, assisted by Knight Lautrec of Carim or Solaire of Astora	
Bell Gargoyles (Anor Londo)	Chosen Undead		Slain by the Chosen Undead	
Berenike Knight (Undead Parish)	Chosen Undead		Slain by the Chosen Undead	
Big Hat Logan	Chosen Undead		Slain by the Chosen Undead	
Black Dragon Kalameet	Chosen Undead		Slain by the Chosen Undead	
Black Iron Tarkus			Perished in Anor Londo	
Black Knight (Darkroot Basin)	Chosen Undead		Slain by the Chosen Undead	
Black Knight (The Catacombs)	Chosen Undead		Slain by the Chosen Undead	
Black Knight (Tomb of the Giants)	Chosen Undead		Slain by the Chosen Undead	
Black Knight (Undead Burg)	Chosen Undead		Slain by the Chosen Undead	
Black Knight (Undead Parish)	Chosen Undead		Slain by the Chosen Undead	
Black Knights (Northern Undead Asylum)	Chosen Undead		Slain by the Chosen Undead	
Blowdart Snipers	Chosen Undead		Slain by the Chosen Undead	
Bounding Demons of Izalith	Chosen Undead		Slain by the Chosen Undead	
Butchers	Chosen Undead		Slain by the Chosen Undead	
Capra Demon	Chosen Undead		Slain by the Chosen Undead	
Ceaseless Discharge	Chosen Undead		Slain by the Chosen Undead	
Centipede Demon	Chosen Undead | Solaire of Astora		Slain by the Chosen Undead, assisted by Solaire of Astora	
Chained Prisoner	Chosen Undead		Slain by the Chosen Undead	
Channeler (Depths)	Chosen Undead		Slain by the Chosen Undead	
Channeler (Undead Parish)	Chosen Undead		Slain by the Chosen Undead	
Chaos Eaters	Chosen Undead		Slain by the Chosen Undead	
Chaos Witch Quelaag	Chosen Undead | Maneater Mildred		Slain by the Chosen Undead, assisted by Maneater Mildred	
Chosen Undead	Chosen Undead		Burned themself in the First Flame (dependent on player choice)	variable
Chosen Undead	Seath the Scaleless		Cursed by Seath the Scaleless (revived)	temporary
Crestfallen Warrior	Chosen Undead		Slain by the Chosen Undead	
Crossbreed Priscilla	Chosen Undead		Slain by the Chosen Undead	
Crystal Knight	Chosen Undead		Slain by the Chosen Undead	
Crystal Lizard (Chasm of the Abyss)	Chosen Undead		Slain by the Chosen Undead	
Crystal Lizard (Darkroot Basin)	Chosen Undead		Slain by the Chosen Undead	
Crystal Lizard (Lost Izalith)	Chosen Undead		Slain by the Chosen Undead	
Crystal Lizard (Oolacile Township)	Chosen Undead		Slain by the Chosen Undead	
Crystal Lizard (The Duke's Archives)	Chosen Undead		Slain by the Chosen Undead	
Crystal Lizard (Tomb of the Giants)	Chosen Undead		Slain by the Chosen Undead	
Crystal Lizard (Undead Burg)	Chosen Undead		Slain by the Chosen Undead	
Crystal Lizards (Crystal Cave)	Chosen Undead		Slain by the Chosen Undead	
Crystal Lizards (Royal Wood)	Chosen Undead		Slain by the Chosen Undead	
Crystal Lizards (The Catacombs)	Chosen Undead		Slain by the Chosen Undead	
Crystal Lizards (The Great Hollow)	Chosen Undead		Slain by the Chosen Undead	
Dark Sun Gwyndolin	Chosen Undead		Slain by the Chosen Undead	
Darkmoon Soldier (Greatsword)	Chosen Undead		Slain by the Chosen Undead	
Darkmoon Soldier (Sword)	Chosen Undead		Slain by the Chosen Undead	
Daughter of Chaos	Chosen Undead		Slain by the Chosen Undead	
Demon Firesage	Chosen Undead		Slain by the Chosen Undead	
Dragon Slayer Ornstein	Chosen Undead | Solaire of Astora | Executioner Smough		Slain by the Chosen Undead, assisted by Solaire of Astora, and if defeated first crushed by Executioner Smough with his hammer	
Executioner Smough	Chosen Undead | Solaire of Astora		Slain by the Chosen Undead, assisted by Solaire of Astora	
Fang Boar (Undead Parish)	Chosen Undead		Slain by the Chosen Undead	
Fang Boars (Anor Londo)	Chosen Undead		Slain by the Chosen Undead	
Forest Hunter Archer	Chosen Undead		Slain by the Chosen Undead	
Forest Hunter Knights	Chosen Undead		Slain by the Chosen Undead	
Four Kings	Chosen Undead | Witch Beatrice		Slain by the Chosen Undead, assisted by Witch Beatrice	
Gaping Dragon	Chosen Undead | Knight Lautrec of Carim | Solaire of Astora		Slain by the Chosen Undead, assisted by Knight Lautrec of Carim or Solaire of Astora	
Giant (Firebomber)	Chosen Undead		Slain by the Chosen Undead	
Giant (Gatekeeper)	Chosen Undead		Slain by the Chosen Undead	
Giant Undead Rat	Chosen Undead		Slain by the Chosen Undead	
Golden Crystal Golem (Darkroot Basin)	Chosen Undead		Slain by the Chosen Undead	
Golden Crystal Golem (The Duke's Archives)	Chosen Undead		Slain by the Chosen Undead	
Golden Crystal Golems (Crystal Cave)	Chosen Undead		Slain by the Chosen Undead	
Gravelord Nito	Chosen Undead		Slain by the Chosen Undead	
Great Felines	Chosen Undead		Slain by the Chosen Undead	
Great Grey Wolf Sif	Chosen Undead		Slain by the Chosen Undead	
