character	killed by	induced by	death	type
Adamanchelid (Mission 33 - A Parent's Pledge)	Lightning's Party		Slain by Lightning's Party	
Adamantortoise (Mission 63 - Crushed by Doubt)	Lightning's Party		Slain by Lightning's Party	
Adroa (Mission 04 - A Hero's Charge)	Lightning's Party		Slain by Lightning's Party	
Adroa (Mission 11 - Pride Before a Fall)	Lightning's Party		Slain by Lightning's Party	
Adroa (Mission 38 - Moonlit Madness)	Lightning's Party		Slain by Lightning's Party	
Alraune (Mission 53 - Freedom from Fear)	Lightning's Party		Slain by Lightning's Party	
Alraune (Mission 57 - What's Yours is Brine)	Lightning's Party		Slain by Lightning's Party	
Amam (Mission 32 - And Then There Was One)	Lightning's Party		Slain by Lightning's Party	
Amam (Mission 36 - Dark Deliverance)	Lightning's Party		Slain by Lightning's Party	
Ambling Bellows (Mission 10 - Hollow Hope)	Lightning's Party		Slain by Lightning's Party	
Ambling Bellows (Mission 18 - So Close, Yet So Far)	Lightning's Party		Slain by Lightning's Party	
Ambling Bellows (Mission 22 - Infernal Machine)	Lightning's Party		Slain by Lightning's Party	
Anavatapta Warmech	Lightning | Snow Villiers | Oerba Dia Vanille		Slain by Lightning, Snow Villiers and Oerba Dia Vanille	
Anima	Lightning | Snow Villiers | Sazh Katzroy		Slain by Lightning, Snow Villiers and Sazh Katzroy	
Aster Protoflorian	Lightning | Hope Estheim		Slain by Lightning and Hope Estheim	
Attacus (Mission 51 - Attacus, the Soulless)	Lightning's Party		Slain by Lightning's Party	
Bandersnatch	Lightning's Party		Slain by Lightning's Party	
Beta Behemoth	Snow Villiers | Gadot | Lebreau		Slain by Snow Villiers, Gadot and Lebreau	
Bituitus (Mission 07 - Bituitus, the Pillager)	Lightning's Party		Slain by Lightning's Party	
Borgbear (Mission 42 - Antihero)	Lightning's Party		Slain by Lightning's Party	
Borgbear (Mission 43 - The Hero Never Dies)	Lightning's Party		Slain by Lightning's Party	
Borgbear Hero (Mission 42 - Antihero)	Lightning's Party		Slain by Lightning's Party	
Borgbear Hero (Mission 43 - The Hero Never Dies)	Lightning's Party		Slain by Lightning's Party	
Ceratoraptor (Mission 16 - Surrogate Slayer)	Lightning's Party		Slain by Lightning's Party	
Ceratoraptor (Mission 59 - Two-faced Fiend)	Lightning's Party		Slain by Lightning's Party	
Ceratosaur (Mission 14 - Defender of the Flock)	Lightning's Party		Slain by Lightning's Party	
Ceratosaur (Mission 16 - Surrogate Slayer)	Lightning's Party		Slain by Lightning's Party	
Ceratosaur (Mission 28 - Faded Glory)	Lightning's Party		Slain by Lightning's Party	
