character	killed by	caused by	death	type
Adult Onion Alien	Joichiro Nishi	Gantz	Sent away by Joichiro Nishi using the Y-gun on orders from Gantz	
Akira Nishida			Died from unknown causes (revived by Gantz)	temporary
Akira Nishida	Gantz		Head blown off by Gantz	
Akitoshi Okazaki			Choked on his food (revived by Gantz)	temporary
Akitoshi Okazaki	Daibutsu Alien		Devoured by the Daibutsu Alien	
Apartment Tanaka's	Kei Kurono	Gantz	Buried when Kei Kurono collapsed a building on them on orders from Gantz	
Bob Morris			Died from unknown causes (revived by Gantz)	temporary
Bob Morris	Vampire Bosses		Throat sliced by one of the Vampire Bosses	
Brachiosaurus Aliens	Kei Kurono	Gantz	Internal organs destroyed by Kei Kurono on orders from Gantz	
Daibutsu Alien	Kei Kurono		Shot in the mouth by Kei Kurono	
Daichi Nozaki			Drowned during a storm (revived by Gantz)	temporary
Daichi Nozaki	Ryūji Kajiura		Shot by Ryūji Kajiura using a machine gun	
Daizaemon Kaze	Shion Izumi		Gunned down by Shion Izumi during the Shinjuku Street Massacre (revived by Gantz)	temporary
Dinosaur Boss Alien	Kei Kurono	Gantz	Internal organs destroyed by Kei Kurono on orders from Gantz	
Flock of Tanaka's	Masaru Kato | Kei Kishimoto | Masanobu Hojo	Gantz	One is punched to the ground by Masaru Kato, two are blown up after being shot by Kei Kishimoto, another forced out of its shell by Masanobu Hojo and the last one is blown up after being shot by Masanobu Hojo, all on orders from Gantz	
Giichi Furuta			Hit by a car (revived by Gantz)	temporary
Giichi Furuta	Hajime Muroto	Giichi Furuta	Willingly triggered a grenade that was stuffed in his mouth by Hajime Muroto	
Goro Suzuki			Died from cancer (revived by Gantz)	temporary
Goro Suzuki	Gantz		Head blown off by Gantz	
Grumpy Alien	Kei Kurono		Legs broken and shot in the head by Kei Kurono	
Hajime Muroto			Shot multiple times by the police (revived by Gantz)	temporary
Hajime Muroto	Kei Kurono		Sent away by Kei Kurono using the Y-gun	
Haruko Otani			Died from unknown causes (revived by Gantz)	temporary
Haruko Otani	Vampire Bosses		Shot by the Vampire Bosses	
Haruya Numata			Murdered by a rival biker gang member (revived by Gantz)	temporary
Haruya Numata	Tanaka Aliens' Boss		Head ripped off by the Tanaka Aliens' Boss	
Hiroshi Hatanaka			Shot by other criminals (revived by Gantz)	temporary
Hiroshi Hatanaka	Adult Onion Alien | Masashi Yamada		Head crushed by the Adult Onion Alien and blown up after accidentally being shot by Masashi Yamada (anime only)	
Hiroshi Hatanaka	Adult Onion Alien | Takashi Inamori		Head crushed by the Adult Onion Alien and blown up after accidentally being shot by Takashi Inamori	
Hiroshi Okada			Died from unknown causes (revived by Gantz)	temporary
Hiroshi Okada	Gantz		Head blown off by Gantz	
Hiroto Sakurai	Shion Izumi		Gunned down by Shion Izumi during the Shinjuku Street Massacre (revived by Gantz)	temporary
Hoi Hoi			Died from unknown causes (revived by Gantz)	temporary
Izumi Tatsumi			Died from unknown causes (revived by Gantz)	temporary
Izumi Tatsumi	Utahraptor Aliens	Kappe Alien	Ripped to pieces by Utahraptor Aliens on orders from the Kappe Alien	
JJ			Died from unknown causes (revived by Gantz)	temporary
JJ	Kannon's 4 Guards		Head kicked off by one of Kannon's 4 Guards	
Jiro Tomashino			Died in a traffic accident (revived by Gantz)	temporary
Jiro Tomashino	Kannon		Sliced into pieces by Kannon's sword	
Joichiro Nishi	Joichiro Nishi		Committed suicide by jumping off a roof (revived by Gantz)	temporary
Joichiro Nishi	Shopping Tanaka Alien		Bled out after being hit with a sonic wave by the Shopping Tanaka Alien (revived by Daizaemon Kaze)	temporary
Juzo Togo			Murdered by an unknown assailant (revived by Gantz)	temporary
Juzo Togo	Kannon		Legs cut off and head lasered through by Kannon	
Kannon	Masaru Kato		Hands and head cut off by Masaru Kato	
Kannon's 4 Guards	Sei Sakuraoka		Blown up after being shot by Sei Sakuraoka	
Kappe Alien	Shion Izumi	Gantz	Sliced apart diagonally by Shion Izumi on orders from Gantz	
Kayo Sugimoto			Died in a traffic accident (revived by Gantz)	temporary
Kayo Sugimoto	Flock of Tanaka's		Eyes shot and fatally wounded by the Flock of Tanaka's	
Kei Kishimoto	Kannon	Kei Kishimoto	Threw herself in front of Masaru Kato to save him from acid thrown by Kannon	
Kei Kurono			Hit by a subway train (revived by Gantz)	temporary
Keiko Morino			Died from unknown causes (revived by Gantz)	temporary
Keiko Morino	Utahraptor Aliens	Kappe Alien	Head torn off by one of the Utahraptor Aliens on orders from the Kappe Alien	
Kenzo Sakata	Shion Izumi		Gunned down by Shion Izumi during the Shinjuku Street Massacre (revived by Gantz)	temporary
Kid Onion Alien	Hiroshi Hatanaka	Gantz	Head blown off by Hiroshi Hatanaka on orders from Gantz	
Kiyoshi Miyafuji			Died from unknown causes (revived by Gantz)	temporary
Kiyoshi Miyafuji	Masaru Kato	Kannon	Shot by Masaru Kato while possessed by Kannon	
Kiyoshi Yoshioka			Shot by other criminals (revived by Gantz)	temporary
Kiyoshi Yoshioka	Adult Onion Alien		Guts ripped open and arm torn off by the Adult Onion Alien	
Kosuke Nakajima			Murdered by a rival biker gang member (revived by Gantz)	temporary
Kosuke Nakajima	Joichiro Nishi		Head blown off after being shot by Joichiro Nishi	
Kouki Inaba	Shion Izumi		Gunned down by Shion Izumi during the Shinjuku Street Massacre (revived by Gantz)	temporary
Masaki Otani			Died from unknown causes (revived by Gantz)	temporary
Masaki Otani	Vampire Bosses		Shot by the Vampire Bosses	
Masanobu Hojo			Died in a traffic accident (revived by Gantz)	temporary
Masanobu Hojo	Kannon		Sliced in half by Kannon's laser beam	
Masaru Kato			Hit by a subway train (revived by Gantz)	temporary
Masaru Kato	Kannon		Stabbed in the heart by Kannon (revived by Yoshikazu Suzuki)	temporary
Masashi Yamada			Scraped on the asphalt during a scooter accident (revived by Gantz)	temporary
Masashi Yamada	Adult Onion Alien		Bled out after having his arms torn off by the Adult Onion Alien	
Michael Combs			Died from unknown causes (revived by Gantz)	temporary
Michael Combs	Vampire Bosses		Shot by the Vampire Bosses	
Mika Kanda			Stabbed in the stomach by her stalker (revived by Gantz)	temporary
Mika Kanda	Hajime Muroto		Bled out after being shot multiple times by Hajime Muroto with an uzi	
Miki Oyama			Died from unknown causes (revived by Gantz)	temporary
Miki Oyama	Vampire Bosses		Shot by the Vampire Bosses	
Musō Tokugawa			Died from unknown causes (revived by Gantz)	temporary
Musō Tokugawa	Rowdy Alien		Crushed by the Rowdy Alien with his palm	
Naozumi Saitō	Hajime Muroto		Blown up by Hajime Muroto with an RPG	
Naozumi Saitō	Naozumi Saitō		Jumped in front of a train (revived by Gantz)	temporary
Nathan Rich			Died from unknown causes (revived by Gantz)	temporary
Nathan Rich	Vampire Bosses		Shot by the Vampire Bosses	
Reika Shimohira	Shion Izumi		Gunned down by Shion Izumi during the Shinjuku Street Massacre (revived by Gantz)	temporary
Rice			Hit by a truck (revived by Gantz)	temporary
Rice			Murdered by the Buddhist Temple Aliens	
Rika Shiraishi			Died from unknown causes (revived by Gantz)	temporary
Rika Shiraishi	Gantz		Head blown off by Gantz	
Rowdy Alien	Juzo Togo		Shot in the head by Juzo Togo	
Ryōta Sugihara			Died in a traffic accident (revived by Gantz)	temporary
Ryōta Sugihara	Flock of Tanaka's		Fatally wounded by the Flock of Tanaka's	
Ryūji Kajiura			Shot multiple times by the police (revived by Gantz)	temporary
Ryūji Kajiura	Ryūji Kajiura		Blew himself up using grenades while trying to kill Kei Kurono	
Sadayo Suzumura			Died in a traffic accident (revived by Gantz)	temporary
Sadayo Suzumura	Kannon		Sliced in half by Kannon's laser beam	
Sean Lewis			Died from unknown causes (revived by Gantz)	temporary
Sean Lewis	Vampire Bosses		Shot by the Vampire Bosses	
Sei Sakuraoka			Shot in the chest by a man she rejected (revived by Gantz)	temporary
Sei Sakuraoka	Kannon		Shot through the heart by Kannon with his laser beam	
Shinsuke Nishikawa			Murdered by a rival biker gang member (revived by Gantz)	temporary
