character	killer	responsible party	description	type
Agon	Hisoka Morow		Murdered by Hisoka Morow	
Amana	Genthru		Murdered by Genthru	
Assam	Genthru		Detonated by Genthru	
Assassin A	Chrollo Lucilfer		Devoured by Chrollo Lucilfer's Indoor Fish	
Assassin B	Chrollo Lucilfer		Stabbed in the back of the head with a pen by Chrollo Lucilfer	
Assassin C	Chrollo Lucilfer		Murdered by Chrollo Lucilfer	
Assassin D	Chrollo Lucilfer		Stabbed in the back of the head by Chrollo Lucilfer	
Assassin E	Chrollo Lucilfer		Murdered by Chrollo Lucilfer	
Assassin F	Chrollo Lucilfer		Stabbed in the head with a pen by Chrollo Lucilfer	
Asta	Genthru		Murdered by Genthru	
Baise	Shizuku Murasaki		Smashed in the head by Shizuku Murasaki	
Baital	Isaac Netero		Beheaded by Isaac Netero	
Balda	Pike		Skull bitten off by Pike	
Baro	Gon Freecss		Crushed by Gon Freecss	
Battera's Lover			Passed away	
Bean	Machi Komacine		Hanged by Machi Komacine	
Benny Delon			Died from unknown causes	
Bodoro	Killua Zoldyck		Stabbed through the chest by Killua Zoldyck	
Boki	Shalnark Ryuseih		Obliterated by Shalnark Ryuseih	
Bopobo	Razor		Head blown off with a dodgeball by Razor	
Bounty Hunter	Mike		Devoured by Mike	
Bourbon		Ponzu	Anaphylactic shock caused by Ponzu's bees	
Bushidora Ambitious	Hisoka Morow		Murdered by Hisoka Morow	
Centipede	Kite		Shot in the head by Kite	
Cheetu	Silva Zoldyck		Crushed by Silva Zoldyck	
Cherry	Hisoka Morow		Murdered by Hisoka Morow	
Chimera Ant Queen	Meruem		Fatally wounded when Meruem prematurely forces his birth	
Chiona	Isaac Netero		Slain by Isaac Netero	
Contarch	Genthru		Detonated by Genthru	
Dalzollene	Phinks Magcub		Impaled from behind by Phinks Magcub	
Dog	Phinks Magcub		Slain by Phinks Magcub	
East Gorteau Go Champion	East Gorteau Go Champion		Committed suicide in an unknown manner	
East Gorteau Nen-using Soldier	Meruem		Murdered by Meruem	
East Gorteau Shogi Champion	Meruem		Head smashed to bits by Meruem	
Flutter	Knov		Slain by Knov	
Frog	Kite		Head sliced off by Kite	
Gaftz	Isaac Netero		Slain by Isaac Netero	
General Sharman			Assassinated by an unknown person	
Geretta	Hisoka Morow		Beheaded by Hisoka Morow	
Goran	Isaac Netero		Slain by Isaac Netero	
Gorilla	Phinks Magcub		Punched by Phinks Magcub	
Gotoh	Hisoka Morow		Throat slit by Hisoka Morow	
Goz	Illumi Zoldyck		Stabbed in the face with needles by Illumi Zoldyck	
Gun-toting Ant	Bonolenov Ndongo		Crushed by Bonolenov Ndongo	
Gyro's Father	Gyro		Bludgeoned with a hammer by Gyro	
Hanse	Genthru		Murdered by Genthru	
Hassam	Alluka Zoldyck		Crushed into mince meat by Alluka Zoldyck	
Inzagi	Killua Zoldyck		Head destroyed with yo-yos by Killua Zoldyck	
Isaac	Genthru		Detonated by Genthru	
Isaac Netero	Isaac Netero		Pierced his own heart with his finger which detonated the bomb inside his body	
Ivlenkov	Shizuku Murasaki		Skull crushed by Shizuku Murasaki	
Jeet	Genthru		Detonated by Genthru	
Jispa	Genthru		Fatally wounded after his face was detonated by Genthru	
Johness	Killua Zoldyck		Heart plucked out by Killua Zoldyck	
Kastro	Hisoka Morow		Stabbed with multiple playing cards by Hisoka Morow	
Kasuga	Alluka Zoldyck		Crushed into mince meat by Alluka Zoldyck	
Kazsule	Genthru		Murdered by Genthru	
Kenzaki	Hisoka Morow		Murdered by Hisoka Morow	
Kite	Neferpitou		Beheaded by Neferpitou (reborn as a Chimera Ant)	temporary
Komugi	Isaac Netero		Poisoned by the Poor Man's Rose detonated by Isaac Netero	
Kortopi	Hisoka Morow		Beheaded by Hisoka Morow	
Kosofftro	Genthru		Detonated by Genthru	
Kurt			Murdered by a Chimera Ant	
Latarza	Feitan Portor		Murdered by Feitan Portor	
Latoon	Hisoka Morow		Murdered by Hisoka Morow	
Lead East Gorteau Dancer	Meruem		Murdered by Meruem	
Leech	Uvogin		Head bitten off by Uvogin	
Leol	Morel Mackernasey		Poisoned with carbon dioxide by Morel Mackernasey	
Maenole	Killua Zoldyck		Head destroyed with yo-yos by Killua Zoldyck	
Manheim	Genthru		Murdered by Genthru	
Menthuthuyoupi	Isaac Netero		Poisoned by the Poor Man's Rose detonated by Isaac Netero	
Meruem	Isaac Netero		Poisoned by the Poor Man's Rose detonated by Isaac Netero	
Meteor City's Elder			Died from unknown causes	
Mikli	Genthru		Detonated by Genthru	
Ming Jol-ik's Double	Meruem		Slaughtered by Meruem	
Mitsuba	Alluka Zoldyck		Crushed into mince meat by Alluka Zoldyck	
Montreux	Genthru		Murdered by Genthru	
Mosquito	Killua Zoldyck		Beheaded by Killua Zoldyck	
Muna	Alluka Zoldyck		Perished due to Alluka Zoldyck's power	
Neferpitou	Gon Freecss		Skull bashed in by Gon Freecss	
Nick Cue	Genthru		Murdered by Genthru	
Nickes	Genthru		Detonated by Genthru	
Nomdieu	Genthru		Detonated by Genthru	
Nostrade Butler		Baise	Used as a human shield from bullets by Baise	
Ortho Brother	Killua Zoldyck		Beheaded by Killua Zoldyck	
Ortho Sister	Killua Zoldyck		Beheaded by Killua Zoldyck	
Pakunoda	Kurapika		Heart crushed by Kurapika	
Peggy	Meruem		Head destroyed by Meruem	
Pekuba			Decapitated by a Chimera Ant	
Pell	Shalnark Ryuseih		Obliterated by Shalnark Ryuseih	
Pietro			Perished from an illness	
Pike	Shizuku Murasaki		Drained of his blood by Shizuku Murasaki	
Pisac	Genthru		Detonated by Genthru	
Pokkle	Pig		Butchered by Pig	
Pokoro	Isaac Netero		Slain by Isaac Netero	
Ponzu	Gun-toting Ant		Shot multiple times by the Gun-toting Ant	
Porcupine	Uvogin		Brain damaged via screaming by Uvogin	
Princess Corco			Died from unknown causes	
Puhat	Genthru		Throat detonated by Genthru	
Rabid Dog	Uvogin		Skull pierced by Uvogin	
Rammot	Killua Zoldyck		Beheaded and skull crushed by Killua Zoldyck	
Redwood	Genthru		Detonated by Genthru	
Reikei	Isaac Netero		Slain by Isaac Netero	
Reina			Murdered by a Chimera Ant	
Rhino	Killua Zoldyck		Stabbed by Killua Zoldyck	
Rover	Yunju		Murdered by Yunju	
Sabazushi	Genthru		Face exploded by Genthru	
Sara			Died from unknown causes	
Shachmono Tocino	Franklin Bordeau		Shot in the head by Franklin Bordeau	
Shaiapouf	Isaac Netero		Poisoned by the Poor Man's Rose detonated by Isaac Netero	
Shalnark Ryuseih	Hisoka Morow		Murdered by Hisoka Morow	
Shihael	Genthru		Detonated by Genthru	
Siper	Illumi Zoldyck		Shot in the head with a needle by Illumi Zoldyck	
Small Beetle	Kalluto Zoldyck		Torn to shreds by Kalluto Zoldyck	
Souheil	Genthru		Murdered by Genthru	
Spot	Yunju		Murdered by Yunju	
Squala	Nobunaga Hazama		Beheaded by Nobunaga Hazama	
Taragetter	Knov		Head removed by Knov	
Ten Dons	Illumi Zoldyck		Assassinated by Illumi Zoldyck	
Teradein Neutral	Hisoka Morow		Murdered by Hisoka Morow	
Togari	Hisoka Morow		Decapitated with hookbill knives by Hisoka Morow	
Turtle	Meruem		Murdered by Meruem	
Uvogin	Kurapika		Heart crushed by Kurapika	
Wong Li	Genthru		Murdered by Genthru	
Worm	Uvogin		Slain by Uvogin	
Yabibi	Genthru		Murdered by Genthru	
Yunju	Kite		Shot in the head by Kite	
Zazan	Feitan Portor		Incinerated by Feitan Portor	
Zeho	Genthru		Murdered by Genthru	
Zem	Isaac Netero		Slain by Isaac Netero	
