character	killer	responsible party	description	type
Akuro-o Otake	Fumihiko Takaba		Run over with a truck by Fumihiko Takaba	
Angel			Died from unknown causes (reincarnated via Kenjaku in Hana Kurusu's body)	temporary
Chizuru Hari	Megumi Fushiguro		Slashed across the face by Megumi Fushiguro	
Chojuro Zenin	Maki Zenin		Throat ripped out by Maki Zenin	
Choso	Ryomen Sukuna		Incinerated by Ryomen Sukuna's Divine Flames	
Dagon	Toji Fushiguro		Stabbed repeatedly by Toji Fushiguro	
Dhruv Lakdawalla			Died from unknown causes (reincarnated via Kenjaku)	temporary
Dhruv Lakdawalla			Died from unknown causes (reincarnated via himself)	temporary
Dhruv Lakdawalla	Yuta Okkotsu		Slashed by Yuta Okkotsu	
Eso	Yuji Itadori		Punched through the abdomen by Yuji Itadori	
Ganesha	Yuki Tsukumo		Exorcised by Yuki Tsukumo	
Haba		Garry K. Johnson | Kenjaku	Shot by a soldier on orders from Garry K. Johnson under manipulation by Kenjaku	
Hagane Daido			Died from unknown causes (reincarnated via Kenjaku)	temporary
Hajime Kashimo			Died from an illness (reincarnated via Kenjaku)	temporary
Hajime Kashimo	Ryomen Sukuna		Struck with a net of Dismantle by Ryomen Sukuna	
Hanami	Satoru Gojo		Crushed against a wall by Satoru Gojo	
Haruta Shigemo	Ryomen Sukuna		Cut in half vertically by Ryomen Sukuna	
Honda	Mahito		Fatally wounded after having his body transfigured by Mahito	
Iori Hazenoki			Died from unknown causes (reincarnated via Kenjaku)	temporary
Iori Hazenoki	Kenjaku		Struck in the neck by Kenjaku	
Jinichi Zenin	Maki Zenin		Decapitated by Maki Zenin	
Jogo	Ryomen Sukuna		Incinerated by Ryomen Sukuna's Divine Flames	
Junpei Yoshino	Mahito		Turned into an abomination by Mahito and perished	
Kaori Itadori			Died from unknown causes	
Kechizu	Nobara Kugisaki		Head blown up by Nobara Kugisaki	
Kenjaku	Yuta Okkotsu		Decapitated by Yuta Okkotsu	
Kento Nanami	Mahito		Upper body exploded by Mahito	
Ko-Guy	Yuji Itadori		Exorcised by Yuji Itadori	
Kokichi Muta	Mahito		Brutally murdered by Mahito	
Kuchisake-Onna	Toji Fushiguro		Cut down by Toji Fushiguro	
Kurourushi	Yuta Okkotsu		Desintegrated by Yuta Okkotsu (later reborn)	temporary
Kurourushi	Yuta Okkotsu		Head exploded by Yuta Okkotsu	
Mahito	Kenjaku		Absorbed by Kenjaku	
Mai Zenin	Mai Zenin	Ogi Zenin	Used the last of her strength to create a katana for Maki after having been beaten by Ogi Zenin	
Maki's Mother	Maki Zenin		Fatally wounded by Maki Zenin	
Manami Suda	Jogo	Ryomen Sukuna	Caught in the blast of a meteor sent by Jogo after being prevented to leave in time by Ryomen Sukuna	
