character	killed by	induced by	death	type
Abbess Ursula	The Lampbearer		Slain by the Lampbearer	
Abiding Defender Kyra	The Lampbearer		Slain by the Lampbearer	
Abiding Defender Lirenne	The Lampbearer		Slain by the Lampbearer	
Adyr, the Bereft Exile	The Lampbearer		Desintegrated by the Lampbearer (dependent on player choice)	determinant
Andreas of Ebb	The Lampbearer		Slain by the Lampbearer	
Betrayed Eliard			Finally perished in Fitzroy's Gorge	
Betrayed Eliard			Murdered by his lover (returned as a Lampbearer)	revived
Blessed Carrion Knight Sanisho	The Lampbearer		Slain by the Lampbearer	
Blind Agatha			Finally perished in Pilgrim's Perch	
Bloody Pilgrim			Finally perished at Bramis Castle	
Bringer of Nullity	The Lampbearer		Slain by the Lampbearer	
Bringer of Silence	The Lampbearer		Slain by the Lampbearer	
Bringer of Stillness	The Lampbearer		Slain by the Lampbearer	
Brother Jeremiah			Finally perished in the Manse of the Hallowed Brothers	
Brother Jeremiah			Murdered during a Rhogar onslaught (returned as a Lampbearer)	revived
Byron	Byron		Threw himself off a precipice (dependent on player choice)	determinant
Catrin			Finally perished in Sunless Skein	
Catrin			Tortured to death by the Order (returned as a Lampbearer)	revived
Chabui			Finally perished in Pilgrim's Perch	
Crimson Rector Percival	The Lampbearer		Slain by the Lampbearer	
Damarose the Marked	Adyr, the Bereft Exile	Damarose the Marked	Allows herself to be incorporated by Adyr, the Bereft Exile (dependent on player choice)	determinant | unavoidable
Damarose the Marked	The Lampbearer		Perishes when the Lampbearer uses a seedpod on her (dependent on player choice)	determinant | unavoidable
Damarose the Marked	The Lampbearer		Slain by the Lampbearer (dependent on player choice)	determinant | unavoidable
Dieter			Finally perished on the Path of Devotion	
Doln			Finally perished in Upper Calrath	
Drustan			Devoured by a Ravenous Fascinator	
Elianne the Starved	The Lampbearer | Kukajin | Forlorn Hound		Slain by the Lampbearer, assisted by Kukajin or the Forlorn Hound (dependent on player choice)	determinant
Ethryg			Finally perished on the Skyrest Bridge	
Exacter Dunmire	Exacter Dunmire	Putrid Mother	Took his own life after being rendered mad by the Putrid Mother	
Ferrers the Charred			Finally perished in the Manse of the Hallowed Brothers	
Ferrers the Charred			Incinerated (returned as a Lampbearer)	revived
Forgotten Guardian			Finally perished in Upper Calrath	
General Engstrom	The Lampbearer		Slain by the Lampbearer	
Gentle Gaverus, Mistress of Hounds	The Lampbearer		Slain by the Lampbearer	
Gerlinde	The Lampbearer		Perishes when the Lampbearer uses a seedpod on her (dependent on player choice)	determinant
Griefbound Rowena	The Lampbearer		Slain by the Lampbearer	
Hannelore	Hannelore		Took her own life at the Abandoned Redcopse	
Harrower Dervla, the Pledged Knight	The Lampbearer | Kukajin | Pieta, She of Blessed Renewal		Slain by the Lampbearer, assisted by Kukajin or Pieta	
Holy Bulwark Otto	The Lampbearer		Slain by the Lampbearer	
Hooded Antuli			Finally perished in Sunless Skein	
Infernal Enchantress	The Lampbearer		Slain by the Lampbearer	
Iorelo the Cursed Knight			Finally perished in the Empyrean	
Judge Cleric, the Radiant Sentinel	The Lampbearer | Kukajin | Damarose the Marked		Slain by the Lampbearer, assisted by Kukajin or Damarose the Marked (revived)	revived
Kinrangr Guardian Folard	The Lampbearer		Slain by the Lampbearer	
Kukajin	The Lampbearer		Slain by the Lampbearer (dependent on player choice)	determinant
Loash			Finally perished in the Fief of the Chill Curse	
Lost Berescu			Finally perished in the Revelation Depths	
Lucy			Drowned (brought back as a specter by Yorke)	undead
Lucy		The Lampbearer	Finally perished when the Lampbearer slew the Hollow Crow	
Lydia the Numb Witch			Finally perished in Lower Calrath	
Marco the Axe			Finally perished at the Abandoned Redcopse	
Melchior	Adyr, the Bereft Exile		Incorporated by Adyr, the Bereft Exile	
Mendacious Visage	The Lampbearer		Slain by the Lampbearer	
Molhu	Molhu		Used a seedpod on himself (dependent on player choice)	determinant
Olleren			Finally perished in the Forsaken Fen	
Paladin Isaac	The Lightreaper		Murdered by the Lightreaper	
Paladin's Burden	The Lampbearer		Slain by the Lampbearer	
Pale Butcher			Finally perished in the Forsaken Fen	
