character	killed by	induced by	death	type
Achilles (Rider)	Atalanta (Archer)		Fatally wounded by Atalanta (Archer)	
Adam (Golem Keter Malkuth)	Mordred (Saber) | Sieg		Core destroyed by Mordred (Saber) and Sieg's Noble Phantasms	
Amakusa Shirou Tokisada (Ruler)	Sieg		Fatally wounded by Sieg	
Atalanta (Archer)	Achilles (Rider)		Impaled by Achilles (Rider) with his spears	
Avi Dikhail	Jack the Ripper (Assassin)	Reika Rikudou	Burned and heart gouged out by Jack the Ripper (Assassin) on orders from Reika Rikudou	
Avicebron (Caster)	Chiron (Archer)		Shot by Chiron (Archer)	
Carl Lexarm	Jack the Ripper (Assassin)	Reika Rikudou	Throat slit and heart gouged out by Jack the Ripper (Assassin) on orders from Reika Rikudou	
Celenike Icecolle Yggdmillennia	Mordred (Saber)		Decapitated by Mordred (Saber)	
Chiron (Archer)	Achilles (Rider)		Fatally punched by Achilles (Rider)	
Darnic Prestone Yggdmillennia	Amakusa Shirou Tokisada (Ruler)		Reduced to ashes by Amakusa Shirou Tokisada (Ruler)	
Einzbern Master			Fatally wounded during the Third Fuyuki Holy Grail War	
Fionn mac Cumhaill (Lancer)	Amakusa Shirou Tokisada (Ruler)		Fought to the death with Amakusa Shirou Tokisada (Ruler)	
Frankenstein (Berserker)	Frankenstein (Berserker)		Died after using her Noble Phantasm at the cost of her life	
Hyouma Sagara	Reika Rikudou | Jack the Ripper (Assassin)		Heart gouged out by Reika Rikudou after being fatally wounded by Jack the Ripper (Assassin)	
Jack the Ripper (Assassin)	Jeanne d'Arc (Ruler)		Exorcised by Jeanne d'Arc (Ruler)	
Jeanne d'Arc (Ruler)	Jeanne d'Arc (Ruler)		Died after using her Noble Phantasm at the cost of her life	
Kairi Sisigou	Semiramis (Assassin)		Mortally poisoned by Semiramis (Assassin)	
Kairi Sisigou's daughter	Touki Sisigou		Accidentally poisoned when the Magic Crest her grandfather transferred her contained deadly toxin	
Karna (Lancer)	Sieg		Fatally wounded by Sieg	
Mordred (Saber)	Semiramis (Assassin)		Mortally poisoned by Semiramis (Assassin)	
Nameless Yggdmillennia Homunculus	Spartacus (Berserker)		Fatally wounded by Spartacus (Berserker)'s attack after being impaled with a candle stick and having her legs torn off	
Pemetrekis	Jack the Ripper (Assassin)		Cut down by Jack the Ripper (Assassin)	
Reika Rikudou	Atalanta (Archer)		Shot by Atalanta (Archer)	
Roche Frain Yggdmillennia	Adam (Golem Keter Malkuth) | Avicebron (Caster)		Absorbed by Adam (Golem Keter Malkuth) while being used as a core for its creation by Avicebron (Caster)	
Semiramis (Assassin)	Mordred (Saber)		Fatally wounded by Mordred (Saber)	
Siegfried (Saber)	Siegfried (Saber)		Ripped his own heart out	
Silvelt Kotcheff	Jack the Ripper (Assassin)		Murdered by Jack the Ripper (Assassin)	
Spartacus (Berserker)	Spartacus (Berserker)		Died after using his Noble Phantasm at the cost of his life	
Toole			Died due to her short lifespan as a homunculus	
Vlad III (Apocrypha)	Amakusa Shirou Tokisada (Ruler)		Reduced to ashes by Amakusa Shirou Tokisada (Ruler)	
William Shakespeare (Caster)		Sieg	Disappeared after his master Amakusa Shirou's death at the hands of Sieg	
