character	killed by	caused by	death	type
Alexander (Rider)	Mash Kyrielight | Nero Claudius	Ritsuka Fujimaru	Defeated by Ritsuka Fujimaru's party	
Altera (Grand Order)	Mash Kyrielight | Nero Claudius	Ritsuka Fujimaru	Defeated by Ritsuka Fujimaru's party	
Anne Bonny (Rider)	Mash Kyrielight | Francis Drake	Ritsuka Fujimaru	Defeated by Ritsuka Fujimaru's party	
Artemis (Archer)		Mash Kyrielight | Francis Drake | Ritsuka Fujimaru	Disappeared after the Singularity was erased by Ritsuka Fujimaru's party	
Artoria Pendragon Alter (Saber)	Cú Chulainn (Caster)		Incinerated by Cú Chulainn (Caster) with his Noble Phantasm (First Order Movie)	
Artoria Pendragon Alter (Saber)	Mash Kyrielight	Ritsuka Fujimaru	Defeated by Ritsuka Fujimaru's party	
Asterios (Berserker)	Hector (Lancer)	Jason (Saber)	Impaled by Hector (Lancer)'s spear on orders from Jason (Saber) and threw himself in the ocean	
Atalanta (Archer)		Mash Kyrielight | Francis Drake | Ritsuka Fujimaru	Disappeared after the Singularity was erased by Ritsuka Fujimaru's party	
Atalanta (Archer)	Mash Kyrielight | Jeanne d'Arc (Ruler)	Ritsuka Fujimaru	Defeated by Ritsuka Fujimaru's party	
Boudica (Rider)		Mash Kyrielight | Nero Claudius | Ritsuka Fujimaru	Disappeared after the Singularity was erased by Ritsuka Fujimaru's party	
Caligula (Berserker)	Mash Kyrielight | Nero Claudius	Ritsuka Fujimaru	Defeated by Ritsuka Fujimaru's party	
Carmilla (Assassin)	Elizabeth Báthory (Lancer) | Mash Kyrielight	Ritsuka Fujimaru	Defeated by Elizabeth Báthory (Lancer) alongside Ritsuka Fujimaru's party	
Charles VII	Jeanne d'Arc Alter (Ruler)		Incinerated by Jeanne d'Arc Alter (Ruler)	
Charles-Henri Sanson (Assassin)	Wolfgang Amadeus Mozart (Caster) | Mash Kyrielight	Ritsuka Fujimaru	Defeated by Wolfgang Amadeus Mozart (Caster) alongside Ritsuka Fujimaru's party	
Chevalier d'Éon (Saber)	Mash Kyrielight | Jeanne d'Arc (Ruler)	Ritsuka Fujimaru	Defeated by Ritsuka Fujimaru's party	
Cú Chulainn (Caster)		Cú Chulainn (Caster)	Disappeared after he erased the Singularity (First Order Movie)	
Cú Chulainn (Caster)		Mash Kyrielight | Ritsuka Fujimaru	Disappeared after the Singularity was erased by Ritsuka Fujimaru's party	
Darius III (Berserker)	Mash Kyrielight | Nero Claudius	Ritsuka Fujimaru	Defeated by Ritsuka Fujimaru's party	
Darius III (Rider)	Cú Chulainn (Caster)		Defeated by Cú Chulainn (Caster) (First Order Movie)	
David (Archer)		Mash Kyrielight | Francis Drake | Ritsuka Fujimaru	Disappeared after the Singularity was erased by Ritsuka Fujimaru's party	
EMIYA (Archer)	Cú Chulainn (Caster)		Defeated by Cú Chulainn (Caster)	
Edward Teach (Rider)	Hector (Lancer) | Mash Kyrielight | Francis Drake	Ritsuka Fujimaru	Stabbed by Hector (Lancer) after having been fatally wounded by Ritsuka Fujimaru's party	
Elizabeth Báthory (Lancer)		Mash Kyrielight | Jeanne d'Arc (Ruler) | Ritsuka Fujimaru	Disappeared after the Singularity was erased by Ritsuka Fujimaru's party	
Elizabeth Báthory (Lancer)		Mash Kyrielight | Nero Claudius | Ritsuka Fujimaru	Disappeared after the Singularity was erased by Ritsuka Fujimaru's party	
Eric Bloodaxe (Berserker)	Mash Kyrielight | Francis Drake	Ritsuka Fujimaru	Defeated by Ritsuka Fujimaru's party	
Euryale (Archer)		Mash Kyrielight | Francis Drake | Ritsuka Fujimaru	Disappeared after the Singularity was erased by Ritsuka Fujimaru's party	
Fafnir	Siegfried (Saber)		Struck down with his sword by Siegfried (Saber)	
Fafnir	Siegfried (Saber) | Mash Kyrielight	Ritsuka Fujimaru	Defeated by Siegfried (Saber) and Ritsuka Fujimaru's party (later revived)	revived
Flauros	Mash Kyrielight | Nero Claudius	Ritsuka Fujimaru	Defeated by Ritsuka Fujimaru's party (resurrected via Ars Paulina)	revived
Forneus	Mash Kyrielight | Francis Drake	Ritsuka Fujimaru	Defeated by Ritsuka Fujimaru's party (resurrected via Ars Paulina)	revived
Gaius Julius Caesar (Saber)	Mash Kyrielight | Nero Claudius	Ritsuka Fujimaru	Defeated by Ritsuka Fujimaru's party	
Georgios (Rider)		Mash Kyrielight | Jeanne d'Arc (Ruler) | Ritsuka Fujimaru	Disappeared after the Singularity was erased by Ritsuka Fujimaru's party	
Gilles de Rais (Caster)	Mash Kyrielight | Jeanne d'Arc (Ruler)	Ritsuka Fujimaru	Defeated by Ritsuka Fujimaru's party	
Hassan of the Cursed Arm (Assassin)	Cú Chulainn (Caster)		Defeated by Cú Chulainn (Caster) (First Order Movie)	
Hassan of the Cursed Arm (Assassin)	Mash Kyrielight	Ritsuka Fujimaru	Defeated by Ritsuka Fujimaru's party	
Hector (Lancer)	Euryale (Archer) | Mash Kyrielight | Francis Drake	Ritsuka Fujimaru	Shot with an arrow by Euryale (Archer) after being fatally wounded by Ritsuka Fujimaru's party	
Heracles (Berserker)		Mash Kyrielight | Ritsuka Fujimaru	Disappeared after the Singularity was erased by Ritsuka Fujimaru's party	
Heracles (Berserker)	David (Archer)	Mash Kyrielight | Francis Drake | Ritsuka Fujimaru	Drained of his magical energy after touching David (Archer)'s Ark of the Covenant when he was pushed into it by Ritsuka Fujimaru's party	
Heracles (Berserker)	Hector (Lancer) | Asterios (Berserker)	Jason (Saber)	Impaled by Hector (Lancer)'s spear on orders from Jason (Saber) and dragged down in the ocean by Asterios (Berserker) (resurrected via God Hand)	revived
Heracles (Berserker)	Mash Kyrielight | Francis Drake	Ritsuka Fujimaru	Defeated by Ritsuka Fujimaru's party (resurrected via God Hand)	revived
Jason (Saber)	Mash Kyrielight | Francis Drake	Ritsuka Fujimaru	Defeated by Ritsuka Fujimaru's party	
Jeanne d'Arc (Ruler)		Mash Kyrielight | Jeanne d'Arc (Ruler) | Ritsuka Fujimaru	Disappeared after the Singularity was erased by Ritsuka Fujimaru's party	
Jeanne d'Arc Alter (Ruler)	Mash Kyrielight | Jeanne d'Arc (Ruler)	Ritsuka Fujimaru	Defeated by Ritsuka Fujimaru's party	
Jing Ke (Assassin)		Mash Kyrielight | Nero Claudius | Ritsuka Fujimaru	Disappeared after the Singularity was erased by Ritsuka Fujimaru's party	
Kiyohime (Berserker)		Mash Kyrielight | Jeanne d'Arc (Ruler) | Ritsuka Fujimaru	Disappeared after the Singularity was erased by Ritsuka Fujimaru's party	
Lancelot (Berserker)	Mash Kyrielight | Jeanne d'Arc (Ruler)	Ritsuka Fujimaru	Defeated by Ritsuka Fujimaru's party	
Leonidas I (Lancer)	Mash Kyrielight | Nero Claudius	Ritsuka Fujimaru	Defeated by Ritsuka Fujimaru's party	
Lev Lainur Flauros	Altera (Grand Order)		Bisected by Altera (Grand Order) (resurrected via Ars Paulina)	revived
Lü Bu (Berserker)	Altera (Grand Order)		Annihilated by Altera (Grand Order)'s Noble Phantasm	
Marie Antoinette (Rider)	Jeanne d'Arc Alter (Ruler)		Defeated by Jeanne d'Arc Alter (Ruler)	
Martha (Rider)	Mash Kyrielight | Jeanne d'Arc (Ruler)	Ritsuka Fujimaru	Defeated by Ritsuka Fujimaru's party	
Mary Read (Rider)	Mash Kyrielight | Francis Drake	Ritsuka Fujimaru	Defeated by Ritsuka Fujimaru's party	
Medea Lily (Caster)	Mash Kyrielight | Francis Drake	Ritsuka Fujimaru	Defeated by Ritsuka Fujimaru's party	
Medusa (Rider)	Mash Kyrielight	Ritsuka Fujimaru	Defeated by Mash Kyrielight, led by Ritsuka Fujimaru	
Medusa Alter (Lancer)	Cú Chulainn (Caster)		Incinerated by Cú Chulainn (Caster) (First Order Movie)	
Musashibou Benkei (Lancer)	Mash Kyrielight	Ritsuka Fujimaru	Defeated by Ritsuka Fujimaru's party	
Olga Marie Asmleit Animusphere	Lev Lainur Flauros		Body destroyed in an explosion set up by Lev Lainur Flauros (mind rayshifted to Fuyuki)	physical
