character	killed by	caused by	death	type
Artoria Pendragon (Saber)		Artoria Pendragon (Saber) | Rin Tohsaka	Died after destroying the Holy Grail on orders from Rin Tohsaka (Unlimited Blade Works Route - Good Ending)	determinant
Artoria Pendragon (Saber)		Artoria Pendragon (Saber) | Shirou Emiya	Died after destroying the Holy Grail on orders from Shirou Emiya (Fate Route)	determinant
Artoria Pendragon (Saber)	Heracles (Berserker)	Illyasviel von Einzbern	Crushed with his axe-sword by Heracles (Berserker) on orders from Illyasviel von Einzbern (Fate Route - Bad Ending - Night Without Dawn)	non-canon
Artoria Pendragon (Saber)	Heracles (Berserker)	Illyasviel von Einzbern	Crushed with his axe-sword by Heracles (Berserker) on orders from Illyasviel von Einzbern (Heaven's Feel Route - Bad Ending - Battle of the Holy Grail)	non-canon
Artoria Pendragon (Saber)	Heracles (Berserker)	Illyasviel von Einzbern	Crushed with his axe-sword by Heracles (Berserker) on orders from Illyasviel von Einzbern (Unlimited Blade Works Route - Bad Ending - Third Death)	non-canon
Artoria Pendragon (Saber)	Shirou Emiya	Medusa (Rider)	Stabbed by Shirou Emiya after being knocked down by Medusa (Rider)'s Noble Phantasm (Heaven's Feel Route)	determinant
Atrum Galliasta	Medea (Caster)		Immolated by Medea (Caster) (Unlimited Blade Works Anime)	continuant | unavoidable
Atrum Galliasta	Medea (Caster)		Stabbed with Rule Breaker by Medea (Caster)	determinant | unavoidable
Aŋra Mainiiu (Holy Grail)	Artoria Pendragon (Saber)	Rin Tohsaka	Destroyed by Artoria Pendragon (Saber) on orders from Rin Tohsaka (Unlimited Blade Works Route)	determinant | unavoidable
Aŋra Mainiiu (Holy Grail)	Artoria Pendragon (Saber)	Shirou Emiya	Destroyed by Artoria Pendragon (Saber) on orders from Shirou Emiya (Fate Route)	determinant | unavoidable
Aŋra Mainiiu (Holy Grail)	Illyasviel von Einzbern		Destroyed by Illyasviel von Einzbern using the Dress of Heaven (Heaven's Feel Route - True Ending)	determinant | unavoidable
Aŋra Mainiiu (Holy Grail)	Shirou Emiya		Destroyed by Shirou Emiya with Excalibur (Heaven's Feel Route - Normal Ending)	determinant | unavoidable
Byakuya Matou			Died from unknown causes	
Claudia Hortensia	Claudia Hortensia		Took her own life due to being terminally ill	
Cú Chulainn (Lancer)	Cú Chulainn (Lancer)	Kirei Kotomine	Impaled himself on orders from Kirei Kotomine (Unlimited Blade Works Route)	determinant | unavoidable
Cú Chulainn (Lancer)	Gilgamesh (Archer)		Impaled with his Noble Phantasms by Gilgamesh (Archer) (Fate Route)	determinant | unavoidable
Cú Chulainn (Lancer)	Gilgamesh (Archer)		Stabbed by Gilgamesh (Archer) (Fate Deen Anime)	continuant | unavoidable
Cú Chulainn (Lancer)	Hassan of the Cursed Arm (Assassin)	Zouken Matou | Aŋra Mainiiu (Holy Grail) | Sakura Matou	Heart crushed by Hassan of the Cursed Arm (Assassin) on orders from Zouken Matou, after being incapacitated by the Black Shadow manifested by Aŋra Mainiiu (Holy Grail) and Sakura Matou (Heaven's Feel Route)	determinant | unavoidable
EMIYA (Archer)	Artoria Pendragon (Saber) | Medea (Caster)	Souichirou Kuzuki	Murdered by Artoria Pendragon (Saber), controlled by Medea (Caster), and Medea (Caster) herself, on orders from Souichirou Kuzuki (Unlimited Blade Works Route - Bad Ending - Sword and Magic)	non-canon
EMIYA (Archer)	Aŋra Mainiiu (Holy Grail) | Sakura Matou		Devoured by the Black Shadow manifested by Aŋra Mainiiu (Holy Grail) and Sakura Matou (Heaven's Feel Route - Bad Ending - World Purge, Meltdown)	non-canon
EMIYA (Archer)	Aŋra Mainiiu (Holy Grail) | Sakura Matou		Fatally wounded by the Black Shadow manifested by Aŋra Mainiiu (Holy Grail) and Sakura Matou (Heaven's Feel Route)	determinant | unavoidable
EMIYA (Archer)	Gilgamesh (Archer)		Fatally wounded by Gilgamesh (Archer) (Unlimited Blade Works Route)	determinant | unavoidable
EMIYA (Archer)	Heracles (Berserker)	Illyasviel von Einzbern | Rin Tohsaka	Fatally wounded by Heracles (Berserker) on orders from Illyasviel von Einzbern, after being ordered to stay behind by Rin Tohsaka (Fate Route)	determinant | unavoidable
Gilgamesh (Archer)	Artoria Pendragon (Saber)		Sliced with Excalibur by Artoria Pendragon (Saber) (Fate Route)	determinant | unavoidable
