character	killed by	caused by	death	type
Artoria Pendragon Alter (Saber)	Cú Chulainn (Caster)		Incinerated by Cú Chulainn (Caster) with his Noble Phantasm (First Order Movie)	
Artoria Pendragon Alter (Saber)	Mash Kyrielight	Ritsuka Fujimaru	Defeated by Ritsuka Fujimaru's party	
Cú Chulainn (Caster)		Cú Chulainn (Caster)	Disappeared after he erased the Singularity (First Order Movie)	
Cú Chulainn (Caster)		Mash Kyrielight | Ritsuka Fujimaru	Disappeared after the Singularity was erased by Ritsuka Fujimaru's party	
Darius III (Rider)	Cú Chulainn (Caster)		Defeated by Cú Chulainn (Caster) (First Order Movie)	
EMIYA (Archer)	Cú Chulainn (Caster)		Defeated by Cú Chulainn (Caster)	
Hassan of the Cursed Arm (Assassin)	Cú Chulainn (Caster)		Defeated by Cú Chulainn (Caster) (First Order Movie)	
Hassan of the Cursed Arm (Assassin)	Mash Kyrielight	Ritsuka Fujimaru	Defeated by Ritsuka Fujimaru's party	
Heracles (Berserker)		Mash Kyrielight | Ritsuka Fujimaru	Disappeared after the Singularity was erased by Ritsuka Fujimaru's party	
Medusa (Rider)	Mash Kyrielight	Ritsuka Fujimaru	Defeated by Mash Kyrielight, led by Ritsuka Fujimaru	
Medusa Alter (Lancer)	Cú Chulainn (Caster)		Incinerated by Cú Chulainn (Caster) (First Order Movie)	
Musashibou Benkei (Lancer)	Mash Kyrielight	Ritsuka Fujimaru	Defeated by Ritsuka Fujimaru's party	
Olga Marie Asmleit Animusphere	Lev Lainur Flauros		Body destroyed in an explosion set up by Lev Lainur Flauros (mind rayshifted to Fuyuki)	physical
Olga Marie Asmleit Animusphere	Lev Lainur Flauros		Disassembled on the molecular level after being thrown into CHALDEAS by Lev Lainur Flauros	
