character	killed by	caused by	death	type
Anne Bonny	Mash Kyrielight | Francis Drake	Ritsuka Fujimaru	Defeated by Ritsuka Fujimaru's party	
Artemis		Mash Kyrielight | Francis Drake | Ritsuka Fujimaru	Disappeared after the Singularity was erased by Ritsuka Fujimaru's party	
Asterios	Hector	Jason	Impaled by Hector's spear on orders from Jason and threw himself in the ocean	
Atalanta		Mash Kyrielight | Francis Drake | Ritsuka Fujimaru	Disappeared after the Singularity was erased by Ritsuka Fujimaru's party	
David		Mash Kyrielight | Francis Drake | Ritsuka Fujimaru	Disappeared after the Singularity was erased by Ritsuka Fujimaru's party	
Edward Teach	Hector | Mash Kyrielight | Francis Drake	Ritsuka Fujimaru	Stabbed by Hector after having been fatally wounded by Ritsuka Fujimaru's party	
Eric Bloodaxe	Mash Kyrielight | Francis Drake	Ritsuka Fujimaru	Defeated by Ritsuka Fujimaru's party	
Euryale		Mash Kyrielight | Francis Drake | Ritsuka Fujimaru	Disappeared after the Singularity was erased by Ritsuka Fujimaru's party	
Forneus	Mash Kyrielight | Francis Drake	Ritsuka Fujimaru	Defeated by Ritsuka Fujimaru's party (resurrected via Ars Paulina)	temporary
Hector	Euryale	Mash Kyrielight | Francis Drake | Ritsuka Fujimaru	Shot with an arrow by Euryale after being fatally wounded by Ritsuka Fujimaru's party	
Heracles (Berserker)	David	Mash Kyrielight | Francis Drake | Ritsuka Fujimaru	Drained of his magical energy after touching David's Ark of the Covenant when he was pushed into it by Ritsuka Fujimaru's party	
Heracles (Berserker)	Hector | Asterios	Jason	Impaled by Hector's spear on orders from Jason and dragged down in the ocean by Asterios (resurrected via God Hand)	temporary
Heracles (Berserker)	Mash Kyrielight | Francis Drake	Ritsuka Fujimaru	Defeated by Ritsuka Fujimaru's party (resurrected via God Hand)	temporary
Jason	Mash Kyrielight | Francis Drake	Ritsuka Fujimaru	Defeated by Ritsuka Fujimaru's party	
Mary Read	Mash Kyrielight | Francis Drake	Ritsuka Fujimaru	Defeated by Ritsuka Fujimaru's party	
Medea Lily	Mash Kyrielight | Francis Drake	Ritsuka Fujimaru	Defeated by Ritsuka Fujimaru's party	
Orion		Mash Kyrielight | Francis Drake | Ritsuka Fujimaru	Disappeared after the Singularity was erased by Ritsuka Fujimaru's party	
Poseidon	Francis Drake		Defeated by Francis Drake	
