character	killed by	caused by	death	type
Atalanta (Archer)	Mash Kyrielight | Jeanne d'Arc (Ruler)	Ritsuka Fujimaru	Defeated by Ritsuka Fujimaru's party	
Carmilla (Assassin)	Elizabeth Báthory (Lancer) | Mash Kyrielight	Ritsuka Fujimaru	Defeated by Elizabeth Báthory (Lancer) alongside Ritsuka Fujimaru's party	
Charles VII	Jeanne d'Arc Alter (Ruler)		Incinerated by Jeanne d'Arc Alter (Ruler)	
Charles-Henri Sanson (Assassin)	Wolfgang Amadeus Mozart (Caster) | Mash Kyrielight	Ritsuka Fujimaru	Defeated by Wolfgang Amadeus Mozart (Caster) alongside Ritsuka Fujimaru's party	
Chevalier d'Éon (Saber)	Mash Kyrielight | Jeanne d'Arc (Ruler)	Ritsuka Fujimaru	Defeated by Ritsuka Fujimaru's party	
Elizabeth Báthory (Lancer)		Mash Kyrielight | Jeanne d'Arc (Ruler) | Ritsuka Fujimaru	Disappeared after the Singularity was erased by Ritsuka Fujimaru's party	
Fafnir	Siegfried (Saber)		Struck down with his sword by Siegfried (Saber)	
Fafnir	Siegfried (Saber) | Mash Kyrielight	Ritsuka Fujimaru	Defeated by Siegfried (Saber) and Ritsuka Fujimaru's party (later revived)	temporary
Georgios (Rider)		Mash Kyrielight | Jeanne d'Arc (Ruler) | Ritsuka Fujimaru	Disappeared after the Singularity was erased by Ritsuka Fujimaru's party	
Gilles de Rais (Caster)	Mash Kyrielight | Jeanne d'Arc (Ruler)	Ritsuka Fujimaru	Defeated by Ritsuka Fujimaru's party	
Jeanne d'Arc (Ruler)		Mash Kyrielight | Jeanne d'Arc (Ruler) | Ritsuka Fujimaru	Disappeared after the Singularity was erased by Ritsuka Fujimaru's party	
Jeanne d'Arc Alter (Ruler)	Mash Kyrielight | Jeanne d'Arc (Ruler)	Ritsuka Fujimaru	Defeated by Ritsuka Fujimaru's party	
Kiyohime (Berserker)		Mash Kyrielight | Jeanne d'Arc (Ruler) | Ritsuka Fujimaru	Disappeared after the Singularity was erased by Ritsuka Fujimaru's party	
Lancelot (Berserker)	Mash Kyrielight | Jeanne d'Arc (Ruler)	Ritsuka Fujimaru	Defeated by Ritsuka Fujimaru's party	
Marie Antoinette (Rider)	Jeanne d'Arc Alter (Ruler)		Defeated by Jeanne d'Arc Alter (Ruler)	
Martha (Rider)	Mash Kyrielight | Jeanne d'Arc (Ruler)	Ritsuka Fujimaru	Defeated by Ritsuka Fujimaru's party	
Phantom of the Opera (Assassin)	Mash Kyrielight | Jeanne d'Arc (Ruler)	Ritsuka Fujimaru	Defeated by Ritsuka Fujimaru's party	
Pierre Cauchon	Jeanne d'Arc Alter (Ruler)		Incinerated by Jeanne d'Arc Alter (Ruler)	
Siegfried (Saber)		Mash Kyrielight | Jeanne d'Arc (Ruler) | Ritsuka Fujimaru	Disappeared after the Singularity was erased by Ritsuka Fujimaru's party	
Vlad III (Berserker)	Mash Kyrielight | Jeanne d'Arc (Ruler)	Ritsuka Fujimaru	Defeated by Ritsuka Fujimaru's party	
Wolfgang Amadeus Mozart (Caster)		Mash Kyrielight | Jeanne d'Arc (Ruler) | Ritsuka Fujimaru	Disappeared after the Singularity was erased by Ritsuka Fujimaru's party	
