character	killed by	caused by	death	type
Alexander	Mash Kyrielight | Nero Claudius | Jing Ke	Ritsuka Fujimaru	Defeated by Ritsuka Fujimaru's party	
Altera (Fate/Grand Order)	Mash Kyrielight | Nero Claudius	Ritsuka Fujimaru	Defeated by Ritsuka Fujimaru's party	
Boudica		Mash Kyrielight | Nero Claudius | Ritsuka Fujimaru	Disappeared after the Singularity was erased by Ritsuka Fujimaru's party	
Caligula	Mash Kyrielight | Nero Claudius | Boudica | Spartacus	Ritsuka Fujimaru	Defeated by Ritsuka Fujimaru's party	
Darius III	Mash Kyrielight | Nero Claudius | Jing Ke	Ritsuka Fujimaru	Defeated by Ritsuka Fujimaru's party	
Elizabeth Báthory		Mash Kyrielight | Nero Claudius | Ritsuka Fujimaru	Disappeared after the Singularity was erased by Ritsuka Fujimaru's party	
Gaius Julius Caesar	Mash Kyrielight | Nero Claudius	Ritsuka Fujimaru	Defeated by Ritsuka Fujimaru's party	
Jing Ke		Mash Kyrielight | Nero Claudius | Ritsuka Fujimaru	Disappeared after the Singularity was erased by Ritsuka Fujimaru's party	
Leonidas I	Mash Kyrielight | Nero Claudius | Boudica | Spartacus	Ritsuka Fujimaru	Defeated by Ritsuka Fujimaru's party	
Lü Bu	Altera (Fate/Grand Order)		Annihilated by Altera (Fate/Grand Order)'s Noble Phantasm	
Romulus	Mash Kyrielight | Nero Claudius | Jing Ke	Ritsuka Fujimaru	Defeated by Ritsuka Fujimaru's party	
Spartacus	Altera (Fate/Grand Order)		Annihilated by Altera (Fate/Grand Order)'s Noble Phantasm	
Stheno		Mash Kyrielight | Nero Claudius | Ritsuka Fujimaru	Disappeared after the Singularity was erased by Ritsuka Fujimaru's party	
Tamamo Cat		Mash Kyrielight | Nero Claudius | Ritsuka Fujimaru	Disappeared after the Singularity was erased by Ritsuka Fujimaru's party	
Zhuge Liang	Mash Kyrielight | Nero Claudius | Jing Ke	Ritsuka Fujimaru	Defeated by Ritsuka Fujimaru's party	
