character	killed by	caused by	death	type
Artoria Pendragon Alter (Saber)	Cú Chulainn (Caster)		Slain by Cú Chulainn (Caster) with his Noble Phantasm (First Order Movie) (soul returned to the Throne of Heroes)	physical
Artoria Pendragon Alter (Saber)	Mash Kyrielight | Cú Chulainn (Caster)	Ritsuka Fujimaru	Defeated by Mash Kyrielight and Cú Chulainn (Caster), led by Ritsuka Fujimaru (soul returned to the Throne of Heroes)	physical
Cú Chulainn (Caster)		Mash Kyrielight | Ritsuka Fujimaru | Cú Chulainn (Caster)	Disappeared after Artoria Alter's defeat at the hands of Mash Kyrielight, Ritsuka Fujimaru and himself (soul returned to the Throne of Heroes)	physical
Darius III (Rider)	Cú Chulainn (Caster)		Defeated by Cú Chulainn (Caster) (First Order Movie) (soul returned to the Throne of Heroes)	physical
EMIYA (Archer)	Cú Chulainn (Caster)		Defeated by Cú Chulainn (Caster) (soul returned to the Throne of Heroes)	physical
Hassan of the Cursed Arm	Cú Chulainn (Caster)		Defeated by Cú Chulainn (Caster) (First Order Movie) (soul returned to the Throne of Heroes)	physical
Hassan of the Cursed Arm	Mash Kyrielight | Cú Chulainn (Caster)	Ritsuka Fujimaru	Defeated by Mash Kyrielight and Cú Chulainn (Caster), led by Ritsuka Fujimaru (soul returned to the Throne of Heroes)	physical
Heracles (Berserker)		Mash Kyrielight | Ritsuka Fujimaru | Cú Chulainn (Caster)	Disappeared after Artoria Alter's defeat at the hands of Mash Kyrielight, Ritsuka Fujimaru and Cú Chulainn (Caster) (soul returned to the Throne of Heroes)	physical
Medusa (Rider)	Mash Kyrielight	Ritsuka Fujimaru	Defeated by Mash Kyrielight, led by Ritsuka Fujimaru (soul returned to the Throne of Heroes)	physical
Medusa Alter	Cú Chulainn (Caster)		Incinerated by Cú Chulainn (Caster) (First Order Movie) (soul returned to the Throne of Heroes)	physical
Musashibou Benkei	Mash Kyrielight | Cú Chulainn (Caster)	Ritsuka Fujimaru	Defeated by Mash Kyrielight and Cú Chulainn (Caster), led by Ritsuka Fujimaru (soul returned to the Throne of Heroes)	physical
Olga Marie Asmleit Animusphere	Lev Lainur Flauros		Body destroyed in an explosion set up by Lev Lainur Flauros (mind rayshifted to Fuyuki)	physical
Olga Marie Asmleit Animusphere	Lev Lainur Flauros		Disassembled on the molecular level after being thrown into CHALDEAS by Lev Lainur Flauros	
