character	killed by	death	type
Alloc	Roland | The Librarians (Urban Legend) | Angela | Carmen	Turned into a book by Roland and the librarians on orders from Angela, orchestrated by Carmen (released by Angela)	revived
Alpha	Roland | The Librarians (Urban Legend) | Angela | Carmen	Turned into a book by Roland and the librarians on orders from Angela, orchestrated by Carmen (released by Angela)	revived
Angela	???	Slain by ??? (Pale Librarian of Death Ending)	non-canon
Angela	Roland	Decapitated by Roland (The Black Silence Ending)	non-canon
Angelica	Chesed	Destroyed when Jae-heon was booked by Chesed	
Angelica	The Pianist | Carmen	Assimilated into the Pianist's piano, orchestrated by Carmen (resurrected as a Puppet by Jae-heon)	revived
Anton	Roland | The Librarians (Urban Plague) | Angela | Carmen	Turned into a book by Roland and the librarians on orders from Angela, orchestrated by Carmen (released by Angela)	revived
Argalia	Roland	Stabbed by Roland	
Argalia	Roland	Turned into a book by Roland (released by Angela)	revived
Arnold	Roland | Malkuth | Angela | Carmen	Turned into a book by Roland and the librarians on orders from Angela, orchestrated by Carmen (released by Angela)	revived
Bada	Roland | The Librarians (Star of the City) | Angela | Carmen	Turned into a book by Roland and the librarians on orders from Angela, orchestrated by Carmen (released by Angela)	revived
Beta	Roland | The Librarians (Urban Legend) | Angela | Carmen	Turned into a book by Roland and the librarians on orders from Angela, orchestrated by Carmen (released by Angela)	revived
Binah	Angela	Turned into a book by Angela (Pale Librarian of Death Ending)	non-canon
Bono	Roland | The Librarians (Urban Legend) | Angela | Carmen	Turned into a book by Roland and the librarians on orders from Angela, orchestrated by Carmen (released by Angela)	revived
Boris	Roland | The Librarians (Urban Nightmare II) | Angela | Carmen	Turned into a book by Roland and the librarians on orders from Angela, orchestrated by Carmen (released by Angela)	revived
Bremen	Netzach	Turned into a book by Netzach (released by Angela)	revived
Bremen	Roland | The Librarians (Star of the City II)	Slain by Roland and the librarians	
Cecil	Roland | The Librarians (Star of the City) | Angela | Carmen	Turned into a book by Roland and the librarians on orders from Angela, orchestrated by Carmen (released by Angela)	revived
Chesed	Angela	Turned into a book by Angela (Pale Librarian of Death Ending)	non-canon
Chun	Roland | The Librarians (Star of the City II) | Angela | Carmen	Turned into a book by Roland and the librarians on orders from Angela, orchestrated by Carmen (released by Angela)	revived
Consta	Roland | Malkuth | Angela | Carmen	Turned into a book by Roland and the librarians on orders from Angela, orchestrated by Carmen (released by Angela)	revived
Dalloc	Roland | The Librarians (Urban Legend) | Angela | Carmen	Turned into a book by Roland and the librarians on orders from Angela, orchestrated by Carmen (released by Angela)	revived
Denis	Roland | The Librarians (Urban Nightmare II) | Angela | Carmen	Turned into a book by Roland and the librarians on orders from Angela, orchestrated by Carmen (released by Angela)	revived
Dery	Pluto	Body exploded into needles via a contract made by Pluto	
Dino	Roland | The Librarians (Urban Legend) | Angela | Carmen	Turned into a book by Roland and the librarians on orders from Angela, orchestrated by Carmen (released by Angela)	revived
Eileen	Roland | The Librarians (Star of the City II)	Slain by Roland and the librarians	
Eileen	Yesod	Turned into a book by Yesod (released by Angela)	revived
Eileen's father	Roland	Murdered by Roland	
Elena	Binah	Turned into a book by Binah (released by Angela)	revived
Elena	Roland | The Librarians (Star of the City II)	Slain by Roland and the librarians	
Emma	Roland | The Librarians (Urban Nightmare) | Angela | Carmen	Turned into a book by Roland and the librarians on orders from Angela, orchestrated by Carmen (released by Angela)	revived
Eri	Roland | Angela | Carmen	Turned into a book by Roland on orders from Angela, orchestrated by Carmen (released by Angela)	revived
Esther	Roland | The Librarians (Star of the City) | Angela | Carmen	Turned into a book by Roland and the librarians on orders from Angela, orchestrated by Carmen (released by Angela)	revived
Finn	Roland | Angela | Carmen	Turned into a book by Roland on orders from Angela, orchestrated by Carmen (released by Angela)	revived
Gamma	Roland | The Librarians (Urban Legend) | Angela | Carmen	Turned into a book by Roland and the librarians on orders from Angela, orchestrated by Carmen (released by Angela)	revived
Gebura	Angela	Turned into a book by Angela (Pale Librarian of Death Ending)	non-canon
Gin	Roland | The Librarians (Urban Plague) | Angela | Carmen	Turned into a book by Roland and the librarians on orders from Angela, orchestrated by Carmen (released by Angela)	revived
Gloria	Roland | The Librarians (Star of the City) | Angela | Carmen	Turned into a book by Roland and the librarians on orders from Angela, orchestrated by Carmen (released by Angela)	revived
Greta	Hod	Turned into a book by Hod (released by Angela)	revived
Greta	Roland | The Librarians (Star of the City II)	Slain by Roland and the librarians	
Gyeong-mi	Roland | The Librarians (Urban Legend) | Angela | Carmen	Turned into a book by Roland and the librarians on orders from Angela, orchestrated by Carmen (released by Angela)	revived
Harold	Roland | The Librarians (Star of the City II) | Angela | Carmen	Turned into a book by Roland and the librarians on orders from Angela, orchestrated by Carmen (released by Angela)	revived
Hod	Angela	Turned into a book by Angela (Pale Librarian of Death Ending)	non-canon
Hokma	Angela	Turned into a book by Angela (Pale Librarian of Death Ending)	non-canon
Hubert	Roland | The Librarians (Star of the City) | Angela | Carmen	Turned into a book by Roland and the librarians on orders from Angela, orchestrated by Carmen (released by Angela)	revived
Iori	Roland | The Librarians (Star of the City II) | Angela | Carmen	Turned into a book by Roland and the librarians on orders from Angela, orchestrated by Carmen (released by Angela)	revived
Isadora	Roland | The Librarians (Urban Legend) | Angela | Carmen	Turned into a book by Roland and the librarians on orders from Angela, orchestrated by Carmen (released by Angela)	revived
Jack	Roland | The Librarians (Canard) | Angela | Carmen	Turned into a book by Roland and the librarians on orders from Angela, orchestrated by Carmen (released by Angela)	revived
Jae-heon	Chesed	Turned into a book by Chesed (released by Angela)	revived
Jae-heon	Roland | The Librarians (Star of the City II)	Slain by Roland and the librarians	
Jin	Roland | The Librarians (Urban Nightmare II) | Angela | Carmen	Turned into a book by Roland and the librarians on orders from Angela, orchestrated by Carmen (released by Angela)	revived
