character	killed by	caused by	death	type
Aya	Ebony Queen's Apple		Impaled through the abdomen by the Ebony Queen's Apple	
Camille	Four-hundred Roses | Sinners	Dante	Corroded by the Four-hundred Roses and then slain by the Sinners, led by Dante	
Cassetti	Don Quixote		Dissolved into blood by Don Quixote	
Catherine Earnshaw	Dante	Catherine Earnshaw	Erased from existence by Dante using the Golden Bough on her own request	
Catherine Earnshaw (The World of Tranquility)			Died from unknown causes and put to rest on the grounds of Wuthering Heights	
Crawling Inquisitor	Sinners	Dante	Slain by the Sinners, led by Dante	
Curious Child	Cassetti | Sinners	Dante	Turned into a Bloodbag by Cassetti and then slain by the Sinners, led by Dante	
Daguanyuan's Jia Huan	Niaojia-ren	Jia Mu	Stomach burst open by a hatching Niaojia-ren during the destruction of the Kong Family orchestrated by Jia Mu	
Dodoru	Don Quixote | Heathcliff	Dante	Slain by Don Quixote and Heathcliff, led by Dante	
Don Quixote			Suffocated to death after inhaling lethal gas (undone by Dante)	undone
Don Quixote	Kromer		Melted by Kromer (undone by Dante)	undone
Don Quixote	Lion | Wolf | Panther		Murdered by Lion, Wolf or Panther (undone by Dante)	undone
Don Quixote	Ricardo		Brutally murdered by Ricardo (undone by Dante)	undone
Don Quixote	Siegfried		Blasted with energy by Siegfried (undone by Dante)	undone
Dongbaek	Dongrang		Stabbed by Dongrang with a Golden Bough	
Dongrang	Yi Sang		Stabbed by Yi Sang's E.G.O. during battle	
Dulcinea	Sinners (minus Don Quixote)	Dante	Slain by the Sinners (minus Don Quixote), led by Dante	
Effie	Kromer | Outis	Dante	Impaled and grafted with prosthetics by Kromer, put down out of mercy by Outis on orders from Dante	
Erlking Heathcliff	Dante	Catherine Earnshaw	Erased from existence by Dante using the Golden Bough on Catherine Earnshaw's request	
Every Catherine	Dante	Catherine Earnshaw	Erased from existence by Dante using the Golden Bough on Catherine Earnshaw's request	
Everything There of an Inquisitor	Sinners	Dante	Slain by the Sinners, led by Dante	
Faust			Suffocated to death after inhaling lethal gas (undone by Dante)	undone
Faust	Don Quixote		Turned into paste by the shockwave emitted by Don Quixote's transformation (undone by Dante)	undone
Faust	Kromer		Melted by Kromer (undone by Dante)	undone
