character	killed by	caused by	death	type
Aya	Ebony Queen's Apple		Impaled through the abdomen by the Ebony Queen's Apple	
Don Quixote			Suffocated to death after inhaling lethal gas (undone by Dante)	undone
Faust			Suffocated to death after inhaling lethal gas (undone by Dante)	undone
Gregor			Suffocated to death after inhaling lethal gas (undone by Dante)	undone
Heathcliff			Suffocated to death after inhaling lethal gas (undone by Dante)	undone
Heathcliff	Ryōshū		Throat slit by Ryōshū (undone by Dante)	undone
Hong Lu			Suffocated to death after inhaling lethal gas (undone by Dante)	undone
Ishmael			Suffocated to death after inhaling lethal gas (undone by Dante)	undone
Ishmael	Ryōshū		Throat slit by Ryōshū (undone by Dante)	undone
Meursault			Suffocated to death after inhaling lethal gas (undone by Dante)	undone
Old G Corp. Head Manager	Sinners	Dante	Slain by the Sinners, led by Dante	
Outis			Suffocated to death after inhaling lethal gas (undone by Dante)	undone
Recollected Festered G Corp. H. Manager	Sinners	Dante	Slain by the Sinners, led by Dante	
Rodion			Suffocated to death after inhaling lethal gas (undone by Dante)	undone
Ryōshū			Suffocated to death after inhaling lethal gas (undone by Dante)	undone
Ryōshū	Don Quixote		Stabbed through the back of the head by Don Quixote (undone by Dante)	undone
Sinclair			Suffocated to death after inhaling lethal gas (undone by Dante)	undone
Sinclair	Heathcliff		Head caved in with a bat by Heathcliff (undone by Dante)	undone
Tomah	Hermann		Crushed by Hermann's hand	
Yi Sang			Suffocated to death after inhaling lethal gas (undone by Dante)	undone
Yuri	Golden Apple		Devoured by the Golden Apple	
