character	killed by	caused by	death	type
Kurisu Makise	Rintaro Okabe		Accidentally stabbed in the stomach by Rintaro Okabe (1.130205β World Line - 2nd Iteration)	non-canon
Mayuri Shiina			Accidentally shot in the head by a policeman (0.337187α World Line - 7th Iteration)	non-canon
Mayuri Shiina			Died from a heart attack (0.456914α World Line - 5th Iteration)	non-canon
Mayuri Shiina			Died from unknown causes (0.571046α World Line - 3rd Iteration - Kurisu's Ending)	non-canon
Mayuri Shiina			Died from unknown causes (0.571046α World Line - Between the 3rd and the Final Iteration)	non-canon
Mayuri Shiina			Died from unknown causes (0.571046α World Line - Between the 3rd and the Final Iteration)	non-canon
Mayuri Shiina			Died from unknown causes (0.571046α World Line - Between the 3rd and the Final Iteration)	non-canon
Mayuri Shiina			Died from unknown causes (0.571046α World Line - Between the 3rd and the Final Iteration)	non-canon
Mayuri Shiina			Gelified after being forcefully sent through time by the SERN (0.337187α World Line - 4th Iteration)	non-canon
Mayuri Shiina		FB	Kidnapped and murdered by the Rounders on orders from FB (0.456914α World Line - 1st Iteration)	non-canon
Mayuri Shiina		FB	Murdered in a hit and run by the Rounders on orders from FB (0.571046α World Line - 2nd Iteration)	non-canon
Mayuri Shiina		FB	Ran over by a car while being pursued by the Rounders on orders from FB (0.337187α World Line - 3rd Iteration)	non-canon
Mayuri Shiina		FB	Stabbed by a Rounder on orders from FB (0.337187α World Line - 6th Iteration)	non-canon
Mayuri Shiina		Rintaro Okabe	Died from unknown causes after Rintaro Okabe decides to stop attempting to save her (0.456914α World Line - 4th Iteration - Luka's Ending)	non-canon
Mayuri Shiina	Moeka Kiryu	FB	Shot in the head by Moeka Kiryu on orders from FB (0.337187α World Line - 1st Iteration)	non-canon
Mayuri Shiina	Moeka Kiryu	FB	Shot in the head by Moeka Kiryu on orders from FB (0.337187α World Line - 2nd Iteration)	non-canon
Mayuri Shiina	Moeka Kiryu	FB	Shot in the head by Moeka Kiryu on orders from FB (0.409431α World Line - 1st Iteration)	non-canon
Mayuri Shiina	Nae Tennouji		Accidentally pushed in front of a train by Nae Tennouji (0.337187α World Line - 5th Iteration)	non-canon
Moeka Kiryu	Moeka Kiryu		Jumped off a roof (0.523307α World Line - 1st Iteration)	non-canon
Moeka Kiryu	Nae Tennouji		Stabbed by an insane Nae Tennouji (0.523307α World Line - 6th Iteration)	non-canon
Moeka Kiryu	Yuugo Tennouji		Shot in the chest by Yuugo Tennouji (0.523307α World Line - 6th Iteration - anime only)	non-canon
Rintaro Okabe	Nae Tennouji		Murdered by Nae Tennouji in the future (0.523307α World Line - 6th Iteration)	non-canon
Suzuha Amane			Died from an illness (0.409431α World Line)	non-canon
Suzuha Amane	Suzuha Amane		Hanged herself at home (0.337187α World Line - 12th Iteration)	non-canon
Yukitaka Akiha			Died in a plane accident (0.456914α World Line)	non-canon
Yuugo Tennouji	Yuugo Tennouji		Shot himself in the head (0.523307α World Line - 6th Iteration)	non-canon
Yuugo Tennouji	Yuugo Tennouji		Shot himself in the head (0.523307α World Line - 7th Iteration)	non-canon
