character	killed by	caused by	death	type
Akane Kurashiki	Carlos	Delta	Bled out after her neck was sliced open by Carlos with an axe, during the Decision Game overseen by Delta (C Team - Carlos's Sin)	non-canon
Akane Kurashiki	Delta		Blown up alongside the shelter by Delta (CQD - Bad Ending)	non-canon
Akane Kurashiki	Delta	Carlos	Gassed by Delta after Carlos failed to solve the Monty Hall Problem (C Team - Bad Ending - Monty Hall Problem Failure)	non-canon
Akane Kurashiki	Delta	Carlos	Gunned down by turrets set up by Delta after Carlos failed to roll three 1's (C Team - Bad Ending - The 99.537% Reality)	non-canon
Akane Kurashiki	Delta	Carlos	Injected with a muscle relaxant by Delta after Junpei Tenmyouji was betrayed by Carlos (C Team - Bad Ending - AB Game 'Betray')	non-canon
Akane Kurashiki	Delta	Carlos	Poisoned by Delta, dies after Carlos chooses the wrong antidote (C Team - Bad Ending - The Wrong Antidote)	non-canon
Akane Kurashiki	Delta	Diana | Sean	Executed with an exploding bomb collar by Delta after being voted off by Diana and Sean (C Team - Executed)	non-canon
Akane Kurashiki	Diana	Delta	Blown up alongside the shelter after Diana pressed the button, during the Decision Game overseen by Delta (D Team - Bad Ending - Press the Button)	non-canon
Akane Kurashiki	Diana	Delta	Doused in hydrofluoric acid after Diana pressed the button, during the Decision Game overseen by Delta (D Team - Bad Ending - Acid Rain)	non-canon
Akane Kurashiki	Sean	Delta	Blown up alongside the shelter after a copy of Sean destroys the Transporter on orders from Delta (C Team - Carlos's Promise)	non-canon
Akane Kurashiki	Sean	Delta	Doused in hydrofluoric acid after Sean pressed the button, during the Decision Game overseen by Delta (Q Team - Bad Ending - Acid Rain)	non-canon
Carlos	Carlos	Delta	Slits his own throat with an axe, during the Decision Game overseen by Delta (D Team - Bad Ending - Carlos's Decision)	non-canon
Carlos	Delta		Blown up alongside the shelter by Delta (CQD - Bad Ending)	non-canon
Carlos	Delta	Carlos	Gassed by Delta after choosing to give the only available gas mask to Akane (C Team - Bad Ending - Monty Hall Problem Solved)	non-canon
Carlos	Delta	Carlos	Gassed by Delta after failing to solve the Monty Hall Problem (C Team - Bad Ending - Monty Hall Problem Failure)	non-canon
Carlos	Delta	Carlos	Gunned down by turrets set up by Delta after failing to roll three 1's (C Team - Bad Ending - The 99.537% Reality)	non-canon
Carlos	Delta	Carlos	Gunned down by turrets set up by Delta after failing to roll three 1's, chose to act as a meat shield for Akane (C Team - Junpei's Plan)	non-canon
Carlos	Delta	Carlos	Poisoned by Delta, dies after choosing the wrong antidote (C Team - Bad Ending - The Wrong Antidote)	non-canon
Carlos	Delta	Diana | Sean	Executed with an exploding bomb collar by Delta after being voted off by Diana and Sean (C Team - Executed)	non-canon
Carlos	Delta	Junpei Tenmyouji	Injected with a muscle relaxant by Delta after being betrayed by Junpei Tenmyouji (C Team - Bad Ending - AB Game 'Ally')	non-canon
Carlos	Diana	Delta	Blown up alongside the shelter after Diana pressed the button, during the Decision Game overseen by Delta (D Team - Bad Ending - Press the Button)	non-canon
Carlos	Diana	Delta	Doused in hydrofluoric acid after Diana pressed the button, during the Decision Game overseen by Delta (D Team - Bad Ending - Acid Rain)	non-canon
Carlos	Eric	Delta | Carlos	Shot with a shotgun by Eric after purposefully provoking him to do so, during the Decision Game overseen by Delta (C Team - Get Back)	non-canon
Carlos	Sean	Delta	Blown up alongside the shelter after a copy of Sean destroys the Transporter on orders from Delta (C Team - Carlos's Promise)	non-canon
Carlos	Sean	Delta	Doused in hydrofluoric acid after Sean pressed the button, during the Decision Game overseen by Delta (Q Team - Bad Ending - Acid Rain)	non-canon
Carlos's father			Died in a house fire	
Carlos's mother			Died in a house fire	
Chris	Eric's father		Drowned in a bathtub by Eric's father	
