Cause,Deaths
Dehydration,1526
Unknown,43
Burned to death,36
Various,23
Vaporized,21
Shot to death,13
Life force drained,10
Stabbed to death,10
Beheaded,7
Punched through the abdomen,6
Shot in the head,5
Disease,5
Exploded,5
Consumed,5
Consumed by mold,4
Crushed to death,4
Caught in an explosion,4
Eaten alive,3
Head torn off,3
Blood drained,3
Fatally wounded via Stand destruction,3
Poisoned,2
Carriage accident,2
Internal bleeding,2
Impaled through the neck,2
Dismembered,2
Suffocated to death,2
Stabbed in the heart,1
Ran over by a train then bled out,1
Internal wounds,1
Jumped off a cliff,1
Jumped off a roof,1
Tortured to death,1
Limbs torn off,1
Neck sliced,1
Nose bitten off,1
Old age,1
Throat slit,1
Struck with an axe,1
Punched to death,1
Ran over by a car,1
Ribs expelled from chest,1
Stabbed in the head,1
Ripped apart,1
Ripped apart from the inside,1
Ripped into pieces,1
Roted from the inside,1
Tongue ripped out and head crushed,1
Thrown at a moving truck,1
Stomped to death,1
Shot through the mouth,1
Sliced in half,1
Sliced into pieces,1
Sliced to death,1
Stabbed multiple times until death,1
Stabbed in the back,1
Shot in the throat then bled out,1
Absorbed,1
Impaled on broken glass,1
Impaled on an iron gate,1
Face sliced open,1
Face sliced off,1
Eye infection,1
Executed,1
Every bone shattered,1
Electrocuted to death,1
Drowned to death,1
Dragged into hell,1
Disintegrated,1
Died of old age,1
Decapitated,1
Crushed under a rock,1
Complications following bullet wounds,1
Cancer,1
Bitten by a venomous snake,1
Beaten to death,1
Back ripped open,1
Face torn with a scalpel,1
Fatal internal wounds,1
Flesh torn away,1
Head sliced open,1
Impaled on a wooden debris,1
Impaled on a fence,1
Impaled in the chest,1
Impaled,1
Arms cut off then bled out,1
Heart attack,1
Head split open then bled out,1
Head poked with a spear,1
Frozen and shattered to pieces,1
Head pierced,1
Head obliterated,1
Head impaled,1
Head exploded,1
Head crushed with a sledgehammer,1
Head crushed by an ambulance,1
Head crushed and vaporized,1
Heart stopped,1
