Cause,Deaths
Stomped to death,50000003
Various,286
Eaten alive,30
Unknown,15
Shot to death,14
Crushed to death,12
Nape sliced,10
Struck by a rock at high velocity,8
Shot in the head,8
Caught in an explosion,6
Sliced to death,4
Ripped to pieces,4
Head bitten off,3
Throat slit,3
Tortured to death,3
Bitten in half,3
Fatally burned,2
Kicked to death,2
Decapitated with a sword,2
Stabbed to death,2
Crushed by falling debris,2
Nape blown up,1
Crushed by a boulder,1
Crushed against a tree,1
Trampled to death,1
Thrown to the ground at high velocity,1
Mauled to death,1
Throat pierced then bled out,1
Struck with an axe,1
Stabbed with multiple spears,1
Fatally wounded by a high velocity rock,1
Impaled by a spear,1
Disease,1
Shot through the mouth,1
Shot in the stomach then bled out,1
Burned to death,1
Repeatedly stabbed to death,1
Stabbed in the heart,1
