Killer,Kills
Shiro,26
1 Necro Macro,24
Nagi Kengamine,22
Azuma Genkaku,8
Tsunenaga Tamaki,5
Toto Sakigami,5
? Members of Goreless Peace,5
Kiyomasa Senji,5
Hagire Rinichiro,5
Kozuji Kazumasa,3
Ganta Igarashi,3
Hajime Mikawa,2
Idaki Hitara,2
Ichi Mikawa,2
1 Deadman who killed King Fisher,1
Minatsuki Takami,1
Natural Causes,1
Sorae Igarashi,1
Kosugi,1
Hibana Daida,1
Ikazuchi Akatsuki,1
Dog Race Show,1
Chaplin Sukegawa,1
Azami Mido,1
1 Undertaker who killed Miya,1
1 Undertaker who killed Kazu,1
1 Undertaker who killed Akiyama,1
1 Undertaker,1
1 Necro Macro who killed Komoto,1
Yuki Hitara,1
