Cause,Deaths
Various,228
Beaten to death,70
Unknown,37
Decapitated,26
Exhaustion,5
Caught in an explosion,4
Stabbed to death,4
Fatally wounded then bled out,4
Poisoned,4
Eaten alive,3
Disintegrated,3
Drowned,2
Head crushed,2
Disease,2
Cut in half then bled out,2
Ripped apart from the inside,1
Skull crushed,1
Slashed to death,1
Ripped apart,1
Syphilis,1
Punched through the abdomen then bled out,1
Pulverized,1
Arms cut off then bled out,1
Old age,1
Neck snapped,1
Heart attack,1
Fell to death,1
Cut in half,1
Crushed to death,1
Consumed,1
Committed seppuku,1
Bronchitis,1
Beaten to death with a hammer,1
Fell off a cliff,1
