Cause,Deaths
Shot to death,385
Unknown,25
Head exploded,15
Exploded,11
Car crash,10
Crushed to death,6
Stabbed to death,5
Decapitated,5
Sliced in half,5
Slashed to death,5
Poisoned,4
Burned to death,4
Car accident,4
Internal head injury from sonic blast,3
Melted by acid,3
Hit by a truck,2
Shot in the head,2
Hit by a train,2
Evicerated,2
Sliced into pieces,2
Beaten to death,2
Shot in the heart,1
Scraped to death,1
Ripped to pieces,1
Punched to death,1
Stabbed in the heart,1
Struck with a bat,1
Throat slit,1
Neck broken,1
Arms cut off then bled out,1
Mauled to death,1
Jumped off a roof,1
Bashed on the head,1
Heat,1
Heart failure due to blood loss,1
Head torn off,1
Head ripped off,1
Fatally wounded,1
Exploded then head crushed,1
Eaten alive,1
Drugged,1
Crushed by a steel beam,1
Choked to death,1
Cancer,1
Bike accident,1
Hit by a car,1
