Killer,Kills
Shion Izumi,377
Kei Kurono,20
Hikawa,14
Accidental Causes,13
Gantz,11
Kannon,8
3 Vampire Bosses,8
? Rival Biker Gang Members,5
Nurarihyon Alien Boss,5
1 Sleepy Trucker,4
God Alien,4
Flame Oni,4
? Japanese Self Defence Force Members,4
Joichiro Nishi,4
Adult Onion Alien,4
Masaru Kato,4
Kinpei Hisamatsu,3
Kei Kishimoto,2
Natural Causes,2
? Criminals,2
1 Train Driver,2
2 Tanaka Aliens who killed the Sugimoto,2
Masanobu Hojo,2
Rowdy Alien,1
Oni Boss,1
Shopping Tanaka Alien,1
Takashi Inamori,1
Takeshi's Mother's Abusive Boyfriend,1
Juzo Togo,1
Tanaka Aliens' Boss,1
Tengu Alien Boss,1
Unknown Causes,1
Shapeshifting Alien,1
1 Angry Virgin,1
Hiroshi Hatanaka,1
1 Raptor who killed Takeda,1
1 Car Driver,1
1 Guard of Kannon,1
1 Katastrophe Alien,1
1 Martial Arts Tournament Runner Up,1
1 Oni Alien,1
1 Oni Alien who killed Jouji,1
1 Raptor,1
1 Raptor who killed Kato,1
1 Relative of Scam Victim,1
Daibutsu Alien,1
1 Roman Statue Alien,1
1 Roman Statue Alien who killed Suzuki,1
1 Truck Driver,1
1 Truck Driver who killed Miyafuji,1
1 Worker,1
4 Raptors,1
? Buddhist Temple Aliens,1
1 Assailant,1
Yuta Kondo,1
