Killer,Kills
Tomura Shigaraki,89
Chizome Akaguro,24
Himiko Toga,14
All for One,7
Toya Todoroki,7
Chitose Kizuki,5
Enji Todoroki,3
Kenji Hikiishi,3
Rumi Usagiyama,3
Kai Chisaki,3
Jin Bubaigawara,2
Atsuhiro Sako,2
Goto Imasuji,2
1 Paranormal Liberation Front Soldier,1
Nomu,1
Shuichi Iguchi,1
Number Six,1
Rikiya Yotsubashi,1
Natural Causes,1
Iwao Oguro,1
Keigo Takami,1
Kaina Tsutsumi,1
? Members of an Anti-Quirk Faction,1
Gigantomachia,1
Garvey,1
Eyeless Nomu,1
Eri,1
Chikara Yotsubashi,1
Unknown Causes,1
