universe	character
Ace Attorney	Asa Shinn / Jezaille Brett
Ace Attorney	Ashley Graydon / Eggert Benedict
Ace Attorney	Klint van Zieks / The Professor
Blasphemous	His Holiness Escribar / Last Son of the Miracle / Escribar, Sentinel of the Eternal Procession
Code Geass	Lelouch vi Britannia / Julius Kingsley
Danganronpa	Hajime Hinata / Izuru Kamukura
Danganronpa	Junko Enoshima / Ryoko Otonashi
Danganronpa	Monomi / Usami
Danganronpa	Toko Fukawa / Genocide Jack
Dark Souls	Aldrich, Devourer of Gods / Aldrich, Saint of the Deep
Dark Souls	Fume Knight / Raime the Traitor
Dark Souls	Iudex Gundyr / Champion Gundyr
Dark Souls	Kirk, Knight of Thorns / Longfinger Kirk
Dragon's Dogma	Ashe / Daimon
Dragon's Dogma	Grigori / The Dragon
Dragon's Dogma	Savan / The Seneschal
Infamous	John White / The Beast
Jojo's Bizarre Adventure	Elizabeth Joestar / Lisa Lisa
Jojo's Bizarre Adventure	Giorno Giovanna / Haruno Shiobana
Mobile Suit Gundam	Gaelio Bauduin / Vidar
Mobile Suit Gundam	McGillis Fareed / Montag
Project Moon	Argalia / The Blue Reverberation
Project Moon	Iori / The Purple Tear
Project Moon	Kali / The Red Mist
Project Moon	Roland / The Black Silence
The Evil Within	Ruben Victoriano / Ruvik
The Golden Idol	David Gorran / Ash Blair
The Golden Idol	Edmund Cloudsley / Lazarus Herst
Tokyo Ghoul	Eto Yoshimura / Sen Takatsuki
Tokyo Ghoul	Ken Kaneki / Haise Sasaki
Watch Dogs	JB Markowicz / Defalt
Watch Dogs	Raymond Eugene Kenney / T-Bone Grady
Zero Escape	Akane Kurashiki / June
Zero Escape	Aoi Kurashiki / Santa
Zero Escape	Gentarou Hongou / Ace
Zero Escape	Hazuki Kashiwabara / Lotus
Zero Escape	Light Field / Snake
