Victim,Killer,Cause
1 Brothel Manager,Gyutaro,Stabbed to death
1 Demon,Yoriichi Tsugikuni,Decapitated
1 Demon who killed the Orphans,Gyomei Himejima,Beaten to death
1 Demon who killed Shinobu's Parents,Gyomei Himejima,Decapitated
1 Demon who killed Yuichiro,Muichiro Tokito,Beaten to death
1 Demon Slayer,Kokushibo,Cut in half
1 Doctor,Muzan Kibutsuji,Unknown
1 Magistrate,Hantengu,Unknown
1 Oyakata,Kokushibo,Unknown
1 Person,Kyogai,Unknown
1 Samurai,Gyutaro,Stabbed to death
1 Village Child,Gyokko,Unknown
1 Water Hashira,Akaza,Unknown
11 Students of Sakonji,Hand Demon,Various
15+ Hashira,Gyutaro,Various
2 Brothers of Tengen,Tengen Uzui,Unknown
2 Demons Hired by Enmu,Kyojuro Rengoku,Decapitated
2+ Children of Tamayo,Tamayo,Unknown
3 Drunk Siblings,Muzan Kibutsuji,Unknown
3+ Members of the Spider Family,Rui,Various
5 Brothers of Tengen,Natural Causes,Exhaustion
5 Siblings of Sanemi,Shizu Shinazugawa,Various
5 Wives of Muzan,5 Wives of Muzan,Unknown
50 Members of the Iguro Clan,Serpent Demon,Various
50+ Final Selection Examinees,Hand Demon,Various
67 Members of the Kenjutsu Dojo,Akaza,Beaten to death
7 Hashira,Daki,Various
7 Orphans,1 Demon who killed the Orphans,Various
80+ Humans,Spider Demon (Sister),Various
Acquaintance of Rui's Parents,Rui,Unknown
Akaza,Akaza,Pulverized
Amane Ubuyashiki,Kagaya Ubuyashiki,Caught in an explosion
Daki,Zenitsu Agatsuma & Inosuke Hashibira,Decapitated
Daki and Gyutaro's Mother,Natural Causes,Syphilis
Doma,Kanao Tsuyuri,Decapitated
Doma's Father,Doma's Mother,Stabbed to death
Doma's Mother,Doma's Mother,Poisoned
Enmu,Tanjiro Kamado,Decapitated
Flute Demon,Kyojuro Rengoku,Decapitated
Genya Shinazugawa,Kokushibo,Cut in half then bled out
Gyokko,Muichiro Tokito,Decapitated
Gyokko's Father,Accidental Causes,Drowned
Gyokko's Mother,Accidental Causes,Drowned
Gyomei Himejima,Muzan Kibutsuji,Fatally wounded then bled out
Gyutaro,Tanjiro Kamado,Decapitated
Hairo,Kyojuro Rengoku,Decapitated
Hanako Kamado,Muzan Kibutsuji,Unknown
Hand Demon,Tanjiro Kamado,Decapitated
Hantengu,Tanjiro Kamado,Slashed to death
Hinaki Ubuyashiki,Kagaya Ubuyashiki,Caught in an explosion
Horned Demon,Inosuke Hashibira,Decapitated
Jigoro Kuwajima,Jigoro Kuwajima,Committed seppuku
Kagaya Ubuyashiki,Kagaya Ubuyashiki,Caught in an explosion
Kaigaku,Zenitsu Agatsuma,Decapitated
Kamanue,Muzan Kibutsuji,Eaten alive
Kanae Kocho,Doma,Fatally wounded then bled out
Keizo,Kenjutsu Dojo's Head,Poisoned
Kenjutsu Dojo's Head,Akaza,Beaten to death
Kie Kamado,Muzan Kibutsuji,Unknown
Kokushibo,Gyomei Himejima,Head crushed
Kotoha Hashibira,Doma,Eaten alive
Kotoha's Husband,Doma,Unknown
Kotoha's Mother-In-Law,Doma,Unknown
Koyuki,Kenjutsu Dojo's Head,Poisoned
Kyogai,Tanjiro Kamado,Decapitated
Kyogo Shinazugawa,Kyogo Shinazugawa's Rival,Unknown
Kyojuro Rengoku,Akaza,Punched through the abdomen then bled out
Makomo,Hand Demon,Ripped apart
Masachika Kumeno,Ubume,Stabbed to death
Mitsuri Kanroji,Muzan Kibutsuji,Arms cut off then bled out
Muichiro Tokito,Kokushibo,Cut in half then bled out
Muichiro and Yuichiro's Father,Accidental Causes,Fell off a cliff
Muichiro and Yuichiro's Mother,Natural Causes,Bronchitis
Mukago,Muzan Kibutsuji,Crushed to death
Muzan Kibutsuji,Sun,Disintegrated
Nakime,Muzan Kibutsuji,Head crushed
Nakime's Husband,Nakime,Beaten to death with a hammer
Nichika Ubuyashiki,Kagaya Ubuyashiki,Caught in an explosion
Obanai Iguro,Muzan Kibutsuji,Fatally wounded then bled out
Omitsu,Daki,Fell to death
Ozaki,Spider Demon (Mother),Neck snapped
Rokuro,Muzan Kibutsuji,Unknown
Rokuta Kamado,Muzan Kibutsuji,Unknown
Rui,Giyu Tomioka,Decapitated
Rui's Father,Rui,Unknown
Rui's Mother,Rui,Unknown
Ruka Rengoku,Natural Causes,Disease
Sabito,Hand Demon,Unknown
Satoko,Swamp Demon,Eaten alive
Serpent Demon,Shinjuro Rengoku,Decapitated
Shigeru Kamado,Muzan Kibutsuji,Unknown
Shinobu Kocho,Doma,Consumed
Shinobu and Kanae's Father,1 Demon who killed Shinobu's Parents,Unknown
Shinobu and Kanae's Mother,1 Demon who killed Shinobu's Parents,Unknown
Shizu Shinazugawa,Sanemi Shinazugawa,Decapitated
Spider Demon (Daughter),Shinobu Kocho,Poisoned
Spider Demon (Father),Giyu Tomioka,Decapitated
Spider Demon (Mother),Tanjiro Kamado,Decapitated
Spider Demon (Oldest Sister),Rui & Sun,Disintegrated
Spider Demon (Son),Zenitsu Agatsuma,Decapitated
Susamaru,Muzan Kibutsuji,Ripped apart from the inside
Swamp Demon,Tanjiro Kamado,Decapitated
Takeo Kamado,Muzan Kibutsuji,Unknown
Tamayo,Muzan Kibutsuji,Skull crushed
Tamayo's Husband,Tamayo,Unknown
Tanjuro Kamado,Natural Causes,Unknown
Temple Demon,Sun,Disintegrated
Tetsuido,Natural Causes,Heart attack
Tongue Demon,Zenitsu Agatsuma,Decapitated
Tsutako Tomioka,1 Demon who killed Tsutako,Unknown
Ubume,Sanemi Shinazugawa,Decapitated
Uta,1 Demon who killed Uta,Unknown
Wakuraba,Muzan Kibutsuji,Decapitated
Yahaba,Tanjiro Kamado,Decapitated
Yoriichi Tsugikuni,Natural Causes,Old age
Yoriichi and Kokushibo's Mother,Natural Causes,Disease
Yuichiro Tokito,1 Demon who killed Yuichiro,Fatally wounded then bled out
