Victim,Killer,Cause
1 Tanaka Alien,Masaru Kato,Exploded
2 Tanaka Aliens,Kei Kishimoto,Exploded
2 Tanaka Aliens killed by Hojo,Masanobu Hojo,Exploded
3 Vampire Bosses,Shion Izumi,Slashed to death
354 Shinjuku Massacre Victims,Shion Izumi,Shot to death
8 Shorty Aliens,Kei Kurono,Unknown
Adult Onion Alien,Joichiro Nishi,Unknown
Akira Kurono,Hikawa,Decapitated
Akira Nishida,Gantz,Head exploded
Akira Nishida,Shion Izumi,Shot to death
Akitoshi Okazaki,Accidental Causes,Choked to death
Akitoshi Okazaki,Daibutsu Alien,Eaten alive
Anzu Yamasaki,Nurarihyon Alien Boss,Sliced in half
Ayaka Uranaka,Accidental Causes,Car crash
Ayaka Uranaka,Flame Oni,Burned to death
Bob Morris,? Japanese Self Defence Force Members,Unknown
Bob Morris,Hikawa & 3 Vampire Bosses,Shot to death
Daibutsu Alien,Kei Kurono,Unknown
Daizaemon Kaze,Shion Izumi,Shot to death
Eeva Gund,Kei Kurono,Bashed on the head
Goro Suzuki,Gantz,Head exploded
Goro Suzuki,Natural Causes,Cancer
Grumpy Alien,Kei Kurono,Unknown
Hachiro Oka,Nurarihyon Alien Boss,Decapitated
Haruko Otani,Hikawa & 3 Vampire Bosses,Shot to death
Haruko Otani,Shion Izumi,Shot to death
Haruya Numata,? Rival Biker Gang Members,Stabbed to death
Haruya Numata,Tanaka Aliens' Boss,Head ripped off
Hiroshi Hatanaka,? Criminals,Shot to death
Hiroshi Hatanaka,Takashi Inamori & Adult Onion Alien,Exploded then head crushed
Hiroshi Okada,Gantz,Head exploded
Hiroshi Okada,Shion Izumi,Shot to death
Hiroto Sakurai,Flame Oni,Burned to death
Hiroto Sakurai,Shion Izumi,Shot to death
Hoi Hoi,Natural Causes,Heat
Houchuu Nagashima,1 Oni Alien,Melted by acid
Houchuu Nagashima,Accidental Causes,Car crash
Izumi Tatsumi,4 Raptors,Ripped to pieces
Izumi Tatsumi,Shion Izumi,Shot to death
Jiro Tomashino,Accidental Causes,Bike accident
Jiro Tomashino,Kannon,Sliced into pieces
JJ,1 Guard of Kannon,Neck broken
JJ,1 Martial Arts Tournament Runner Up,Stabbed to death
Joichiro Nishi,Joichiro Nishi,Jumped off a roof
Joichiro Nishi,Shopping Tanaka Alien,Internal head injury from sonic blast
Joji Shimaki,Nurarihyon Alien Boss,Crushed to death
Joji Tomioka,Accidental Causes,Car crash
Joji Tomioka,Flame Oni,Burned to death
Jouji Morozumi,1 Oni Alien who killed Jouji,Melted by acid
Jouji Morozumi,Accidental Causes,Car crash
Juzo Togo,1 Assailant,Throat slit
Juzo Togo,Kannon,Shot in the head
Kannon,Masaru Kato,Decapitated
Kaoru Iwamoto,Accidental Causes,Car crash
Kaoru Iwamoto,Kei Kurono,Punched to death
Kayo Sugimoto,1 Sleepy Trucker,Car accident
Kayo Sugimoto,2 Tanaka Aliens who killed the Sugimoto,Internal head injury from sonic blast
Kei Kishimoto,God Alien,Exploded
Kei Kishimoto,Kannon,Melted by acid
Kei Kurono,1 Train Driver,Hit by a train
Kei Kurono,Hikawa,Unknown
Keiko Morino,1 Raptor,Head torn off
Keiko Morino,Shion Izumi,Shot to death
Kenzo Sakata,Nurarihyon Alien Boss,Unknown
Kenzo Sakata,Shion Izumi,Shot to death
Kid Onion Alien,Hiroshi Hatanaka,Head exploded
Kinpei Hisamatsu,Gantz,Head exploded
Kinpei Hisamatsu,Kinpei Hisamatsu,Poisoned
Kiyoshi Miyafuji,1 Truck Driver who killed Miyafuji,Hit by a truck
Kiyoshi Miyafuji,Masaru Kato,Unknown
Kiyoshi Yoshioka,? Criminals,Shot to death
Kiyoshi Yoshioka,Adult Onion Alien,Evicerated
Kosuke Nakajima,? Rival Biker Gang Members,Stabbed to death
Kosuke Nakajima,Joichiro Nishi,Head exploded
Kouki Inaba,1 Roman Statue Alien,Crushed to death
Kouki Inaba,Shion Izumi,Shot to death
Kyo Hanaki,Nurarihyon Alien Boss,Shot to death
Makoto Sekine,Kei Kurono,Crushed to death
Manabu Yamaguchi,Accidental Causes,Car crash
Manabu Yamaguchi,Shapeshifting Alien,Crushed to death
Masafumi Shirokuma,Accidental Causes,Car crash
Masafumi Shirokuma,Oni Boss,Unknown
Masaki Otani,Hikawa & 3 Vampire Bosses,Shot to death
Masaki Otani,Shion Izumi,Shot to death
Masanobu Hojo,1 Sleepy Trucker,Car accident
Masanobu Hojo,Kannon,Sliced in half
Masaru Kato,1 Train Driver,Hit by a train
Masaru Kato,Kannon,Stabbed in the heart
Masashi Yamada,Accidental Causes,Scraped to death
Masashi Yamada,Adult Onion Alien,Arms cut off then bled out
Michael Combs,? Japanese Self Defence Force Members,Unknown
Michael Combs,Hikawa & 3 Vampire Bosses,Shot to death
Miki Oyama,Hikawa & 3 Vampire Bosses,Shot to death
Miki Oyama,Shion Izumi,Shot to death
Muso Tokugawa,1 Relative of Scam Victim,Poisoned
Muso Tokugawa,Rowdy Alien,Crushed to death
Naoichi Mikawa,Accidental Causes,Car crash
Naoichi Mikawa,Flame Oni,Burned to death
Nathan Rich,? Japanese Self Defence Force Members,Unknown
Nathan Rich,Hikawa & 3 Vampire Bosses,Shot to death
Nobuo Muroya,Tengu Alien Boss,Crushed to death
Nurarihyon Alien Boss,Masaru Kato,Shot to death
Oltra Gund,Kei Kurono,Exploded
Reika Shimohira,1 Katastrophe Alien,Unknown
Reika Shimohira,God Alien,Exploded
Reika Shimohira,Shion Izumi,Shot to death
Rice,? Buddhist Temple Aliens,Struck with a bat
Rice,1 Truck Driver,Hit by a truck
Rika Shiraishi,Gantz,Head exploded
Rika Shiraishi,Shion Izumi,Shot to death
Rowdy Alien,Juzo Togo,Shot in the head
Ryota Sugimoto,1 Sleepy Trucker,Car accident
Ryota Sugimoto,2 Tanaka Aliens who killed the Sugimoto,Internal head injury from sonic blast
Ryotaro Haga,Accidental Causes,Car crash
Ryotaro Haga,Kei Kurono,Heart failure due to blood loss
Sadayo Suzumura,1 Sleepy Trucker,Car accident
Sadayo Suzumura,Kannon,Sliced in half
Saitou,Shion Izumi,Decapitated
Sanpei Taira,Hikawa,Slashed to death
Sean Lewis,? Japanese Self Defence Force Members,Unknown
Sean Lewis,Hikawa & 3 Vampire Bosses,Shot to death
Sei Sakuraoka,1 Angry Virgin,Shot to death
Sei Sakuraoka,God Alien,Exploded
Sei Sakuraoka,Kannon,Shot in the heart
Shinsuke Nishikawa,? Rival Biker Gang Members,Stabbed to death
Shinsuke Nishikawa,Gantz,Head exploded
Shion Izumi,Hikawa,Fatally wounded
Shion Izumi,Kei Kurono,Exploded
Shion Izumi,Unknown Causes,Unknown
Shopping Tanaka Alien,Kei Kurono,Unknown
Shunichi Ike,1 Car Driver,Hit by a car
Shunichi Ike,Gantz,Head exploded
Strong Shorty Alien,Kei Kurono,Unknown
Surviving Shorty Alien,Kei Kurono,Head exploded
Susumu Kimura,Hikawa,Sliced in half
Tae Kojima,Shion Izumi,Slashed to death
Takashi Inamori,1 Worker,Crushed by a steel beam
Takashi Inamori,Adult Onion Alien,Evicerated
Takashi Otani,Hikawa & 3 Vampire Bosses,Shot to death
Takashi Otani,Shion Izumi,Shot to death
Takeshi Koumoto,Takeshi's Mother's Abusive Boyfriend,Beaten to death
Tamio Mizutori,Gantz,Head exploded
Tamio Mizutori,Kinpei Hisamatsu,Poisoned
Tanaka Aliens' Boss,Kei Kurono,Head exploded
Tengu Alien Boss,Joichiro Nishi,Unknown
Tessyo Hori,Gantz,Head exploded
Tessyo Hori,Kinpei Hisamatsu,Poisoned
Tetsuo Hara,Hikawa,Decapitated
Tetsuo Nemoto,? Rival Biker Gang Members,Beaten to death
Tetsuo Nemoto,? Rival Biker Gang Members,Stabbed to death
Tetsuo Tamura,Gantz,Head exploded
Tetsuo Tamura,Shion Izumi,Shot to death
Toshizo Takeda,1 Raptor who killed Takeda,Mauled to death
Toshizo Takeda,Shion Izumi,Shot to death
Yoshiharu Ueda,Accidental Causes,Car crash
Yoshiharu Ueda,Gantz,Head exploded
Yoshikazu Suzuki,1 Roman Statue Alien who killed Suzuki,Unknown
Yoshikazu Suzuki,God Alien,Exploded
Yoshikazu Suzuki,Shion Izumi,Shot to death
Yujiro Kato,1 Raptor who killed Kato,Sliced in half
Yujiro Kato,Shion Izumi,Shot to death
Yuta Kondo,Kannon,Sliced into pieces
Yuta Kondo,Yuta Kondo,Drugged
