Victim,Killer,Cause
1 Executed Zombie killed by Jonathan Joestar,Jonathan Joestar,Head sliced open
1 Tourist Killed by C-Moon,Enrico Pucci,Ripped apart
1 Vagrant killed by Dio Brando,Dio Brando,Stabbed to death
1 Vagrant killed by the Sun,Sun,Vaporized
1 Zombie Knight killed by Jonathan Joestar,Jonathan Joestar,Beheaded
1 Zombie Knight killed by Robert E. O. Speedwagon,Robert E. O. Speedwagon,Head crushed with a sledgehammer
2 Drug Dealers killed by Bruno Bucciarati,Bruno Bucciarati,Stabbed to death
2 Executed Zombies killed by Dio Brando,Dio Brando,Various
2 Friends of Chaka's Father killed by Chaka,Chaka,Stabbed to death
2 Missing Prisoners killed by Foo Fighters,Foo Fighters,Consumed
2 Natural Resources Workers,Natural Causes,Disease
2 Speedwagon Foundation Pilots killed by N'Doul,N'Doul,Head torn off
2 SPW Excavators killed by Straizo,Straizo,Unknown
2 Straizo's Disciples killed by Straizo,Straizo,Unknown
2 Toko's Bullies killed by Tarkus,Tarkus,Crushed to death
24 Stroheim's Prisoners killed by Rudol von Stroheim,Rudol von Stroheim,Unknown
34 Kenzou's Cultists killed by Kenzou,Kenzou,Burned to death
4 Drunkards killed by Cioccolata,Cioccolata,Consumed by mold
4 People Affected by Made In Heaven,Enrico Pucci,Various
4 Santana's Nazi Victims,Santana,Shot to death
4 Zombie Knights killed by Will Anthonio Zeppeli,Will Anthonio Zeppeli,Vaporized
6 Hikers killed by Survivor,Mountain Lodger,Various
7 members of Captain Tennille's Crew killed by Forever,Forever,Various
9 Wamuu's Nazi Victims,Wamuu,Life force drained
Abbacchio's Partner,Blackmailing Criminal,Shot to death
Adams,Jonathan Joestar,Tongue ripped out and head crushed
Anasui's Former Girlfriend,Narciso Anasui,Dismembered
Anasui's Former Girlfriend's Lover,Narciso Anasui,Dismembered
Arnold,Yoshikage Kira,Throat slit
Atroe,Foo Fighters,Caught in an explosion
Aya Tsuji,Yoshikage Kira,Exploded
Aztec Tribe Mate,Aztec Chief,Blood drained
