Victim,Killer,Cause
1 Commandante,1 Commandante & Sebastiano Di Ravello,Shot in the head
1 Soldier,Sebastiano Di Ravello,Beaten to death
10 Captains,Rico Rodriguez,Dependent
10 Commandante,Rico Rodriguez,Dependent
12+ Tank Pilots,Rico Rodriguez,Dependent
18+ Jet Pilots,Rico Rodriguez,Dependent
2 Prisoners,Black Hand,Shot to death
2+ Black Hand Titans,Rico Rodriguez,Dependent
21+ Boat Pilots,Rico Rodriguez,Dependent
23+ Car Pilots,Rico Rodriguez,Dependent
3 Black Hand Warden,Rico Rodriguez,Dependent
4+ Black Hand Ghosts,Rico Rodriguez,Dependent
4+ Mech Pilots,Rico Rodriguez,Dependent
41+ Helicopter Pilots,Rico Rodriguez,Dependent
42+ Black Hand Soldiers,Rico Rodriguez,Dependent
49 Rebels remembered via Shrines,Sebastiano Di Ravello,Various
6+ Snipers,Rico Rodriguez,Dependent
80+ Soldiers,Rico Rodriguez,Dependent
Bonnet,Sebastiano Di Ravello,Shot in the neck
Dante,Unknown Causes,Unknown
David Hoang,Eden,Frozen to death
De Luca,Sebastiano Di Ravello,Shot to death
Diego Marquez Espinosa,Unknown Causes,Unknown
Dimah Ali Umar al-Masri,Dimah Ali Umar al-Masri,Caught in an explosion
Dushku,De Luca,Stabbed in the head
Eden,Rico Rodriguez,Thrown into the sea
Eden Callaghan,Eden,Frozen to death
Emerson Miller,Rico Rodriguez,Dependent
Huchasunqu,Rico Rodriguez,Dependent
León Espinosa,Unknown Causes,Unknown
Miguel Rodriguez,Sebastiano Di Ravello & Oscar Espinosa,Burned to death
Moreau,Thunderstorm,Electrocuted
Muñoz,Rico Rodriguez,Dependent
Oscar Espinosa,Rico Rodriguez,Plane crash
Otorongo,Unknown Causes,Unknown
Rojas,Rico Rodriguez,Plane crash
Sebastiano Di Ravello,Rico Rodriguez,Shot to death
Sebastiano Di Ravello,Sebastiano Di Ravello,Fell into lava
Simone Corso,Thunderstorm,Electrocuted
Simón Valencia,Rico Rodriguez,Dependent
Sophia Espinosa,Unknown Causes,Unknown
Theresa Vidal,Eden,Frozen to death
Valdez,Unknown Causes,Unknown
Zach Schlappi,Eden,Frozen to death
Zeno Antithikara,Rico Rodriguez,Helicopter crash
