Victim,Killer,Cause
Ayano Kamachi,Plague Noise,Erased
Fuya Kawahara,Shiba Miyakaze,Erased
Kaichi Susuki,Wicked Twisters,Erased
Kanon Tachibana,Plague Noise,Erased
Katsuhiko Tanimaru,Shiba Miyakaze,Erased
Kohei Toyohashi,Shiba Miyakaze,Erased
Maito Minami,Plague Noise,Erased
Megumi Kitaniji,Yoshiya Kiryu,Erased
Mitsuki Konishi,Neku Sakuraba & Daisukenojo Bito,Erased
Motoi Anazawa,Shiba Miyakaze,Erased
Nao,Taboo Noise,Erased
Riko Sekinohara,Shiba Miyakaze,Erased
Seven Seven Seven,Mitsuki Konishi,Erased
Sota Honjo,Taboo Noise,Erased
Sumio Tanaka,Shiba Miyakaze,Erased
Tanzo Kubo,Hazuki Mikagi,Exorcised
Tsugumi Matsunae's brother,Tsugumi Matsunae's brother,Erased
Yodai Higashizawa,Neku Sakuraba & Shiki Misaki,Erased
