Killer,Kills
Kenny Ackerman,103
Zeke Yeager,60
Annie Leonhart,29
Bertolt Hoover,20
Theo Magath,18
Pure Titans,16
Mikasa Ackerman,15
Reiner Braun,14
Eren Yeager,12
Rod Reiss,11
Levi Ackerman,11
Hange Zoë,10
Eren Kruger,10
Connie Springer,9
Carlo,9
Unknown,9
Grisha Yeager,7
Porco Galliard,7
Gabi Braun,5
Pieck Finger,5
Floch Forster,4
Survey Corps,4
Djel Sannes,4
Military Police Brigade,4
Falco Grice,4
Armin Arlert,3
Yelena,3
Jean Kirstein,3
Keith Shadis,3
Gross,2
Peering Titan,2
Dina Fritz,2
Ymir,2
Sasha Blouse,2
Yeagerists,1
Traute Caven,1
The robbers' leader,1
Tom Ksaver,1
Uri Reiss,1
Marleyan officer,1
The robbers' axe-man,1
Talking Titan,1
Rod and Uri's father,1
Lara Tybur,1
Audience members,1
Historia Reiss,1
Frieda Reiss,1
Eldian soldiers,1
Disease,1
Marcel Galliard,1
