Killer,Kills
Rudol von Stroheim,24
Dio Brando,15
Yoshikage Kira,12
Wamuu,11
Jonathan Joestar,9
Straizo,9
Unknown,7
Forever,7
Santana,6
Anjuro Katagiri,4
Will Anthonio Zeppeli,4
Natural Causes,4
N'Doul,3
Executioner,3
Chaka,3
Tarkus,3
Lisa Lisa,3
Jean Pierre Polnareff,3
Pet Shop,3
Josuke Higashikata,2
Pillar Men,2
Joseph Joestar,2
Sun,2
Vanilla Ice,2
Caesar Anthonio Zeppeli,2
Aztec Chief,2
Steely Dan,1
Robert E. O. Speedwagon,1
Shinobu Kawajiri,1
Unnamed zombie,1
Wilson Phillips,1
Rubber Soul,1
Superior Officer Zombie,1
Akira Otoishi,1
Noriaki Kakyoin,1
Nena,1
Mother of Baby,1
Ambulance driver,1
Kars,1
Jotaro Kujo,1
Jack the Ripper,1
J. Geil,1
Impostor Captain Tennille,1
Iggy,1
Esidisi,1
Devo the Cursed,1
Dario Brando,1
Cheap Trick,1
Bruford,1
Malicious spirits of Ghost Girl's Alley,1
