Killer,Kills
Kenzou,34
Rudol von Stroheim,24
Dio Brando,15
Enrico Pucci,15
Yoshikage Kira,12
Wamuu,11
Natural Causes,9
Jonathan Joestar,9
Straizo,9
Forever,7
Foo Fighters,6
Santana,6
Diavolo,6
Mountain Lodger,6
Cioccolata,5
Bruno Bucciarati,5
Giorno Giovanna,5
Narancia Ghirga,4
Narciso Anasui,4
Will Anthonio Zeppeli,4
Anjuro Katagiri,4
Chaka,3
N'Doul,3
Jean Pierre Polnareff,3
Accidental Causes,3
Tarkus,3
Unknown Causes,3
Pet Shop,3
Lisa Lisa,3
Executioner,3
Josuke Higashikata,2
Joseph Joestar,2
Aztec Chief,2
Caesar Anthonio Zeppeli,2
Sports Maxx,2
Guido Mista,2
Sun,2
Pillar Men,2
Ermes Costello,2
Weather Report,2
Vanilla Ice,2
Wilson Phillips,1
Polpo,1
Shinobu Kawajiri,1
Robert E. O. Speedwagon,1
Rubber Soul,1
Scolippi's Girlfriend,1
Soviet Soldiers,1
Steely Dan,1
Pericolo,1
Superior Officer Zombie,1
Unnamed zombie,1
Perla Pucci,1
2 Drug Dealers killed by Bruno Bucciarati,1
Passione,1
Guccio,1
Akira Otoishi,1
Ambulance driver,1
Blackmailing Criminal,1
Bruford,1
Cheap Trick,1
Dario Brando,1
Devo the Cursed,1
Emporio Alnino,1
Esidisi,1
Gelato,1
Gwess,1
Pannacotta Fugo,1
Iggy,1
Impostor Captain Tennille,1
J. Geil,1
Jack the Ripper,1
Johngalli A.,1
Jotaro Kujo,1
Malicious spirits of Ghost Girl's Alley,1
Mother of Baby,1
Nena,1
Noriaki Kakyoin,1
Kars,1
